half_page_number,text,predicted_label,science_prob,source_file,clean_text,llm_topic,kw_shore,kw_ocean,kw_sea,kw_river,kw_lake,kw_pond,kw_stream,kw_creek,kw_wetland,kw_reservoir,kw_estuary,kw_gulf,kw_bay,kw_body_of_water,kw_bodies_of_water,keyword_count,keywords_found,document_link
310,"ious countenance,
The shadows of the clouds that float above:-
Upon its central stone the heron sits
Stirless, as in the wave its counterpart,→
Looking, with quiet eye, towards the shore
Of dark-green copse-wood, dark, save, here and there,
Where spangled with the broom's bright aurcate flowers.-
The blue-wing'd sea-gull, sailing placidly
Above his landward haunts, dips down alert
His plumage in the waters, and, anon,
With quicken'd wing, in silence re-ascends.-
Whence comest thou, lone pilgrim of the wild?
Whence wanderest thou, lone Arab of the air?
Where makest thou thy dwelling-place? Afar,
O'er inland pastures, from the herbless rock,
Amid the weltering ocean, thou dost hold,
At early sunrise, thy unguided way,-
The visitant of Nature's varied realms,→
The habitant of Ocean, Earth, and Air,-
Sailing with sportive breast, mid wind and wave,
And, when the sober evening draws around
Her curtains, clasp'd together by her Star,
Returning to the sea-rock's breczy peak.
III.
And now the wood engirds me, the tall stems
Of birch and beech tree hemming me around,
Like pillars of some natural temple vast;
And, here and there, the giant pines ascend,
Briareus-like, amid the stirless air,
High stretching; like a good man's virtuous thoughts
Forsaking earth for heaven. The cushat stands
Amid the topmost boughs, with azure vest,
And neck aslant, listening the amorous coo
Of her, his mate, who, with maternal wing
Wide-spread, sits brooding on opponent tree.
Why, from the rank grass unde",1,0.9926323890686036,blackwood_v24_1828_inu-30000080770807-1746739609.txt,ious countenance the shadows of the clouds that float above upon its central stone the heron sits stirless as in the wave its counterpart looking with quiet eye towards the shore of darkgreen copsewood dark save here and there where spangled with the brooms bright aurcate flowers the bluewingd seagull sailing placidly above his landward haunts dips down alert his plumage in the waters and anon with quickend wing in silence reascends whence comest thou lone pilgrim of the wild whence wanderest thou lone arab of the air where makest thou thy dwellingplace afar oer inland pastures from the herbless rock amid the weltering ocean thou dost hold at early sunrise thy unguided way the visitant of natures varied realms the habitant of ocean earth and air sailing with sportive breast mid wind and wave and when the sober evening draws around her curtains claspd together by her star returning to the searocks breczy peak iii and now the wood engirds me the tall stems of birch and beech tree hemming me around like pillars of some natural temple vast and here and there the giant pines ascend briareuslike amid the stirless air high stretching like a good mans virtuous thoughts forsaking earth for heaven the cushat stands amid the topmost boughs with azure vest and neck aslant listening the amorous coo of her his mate who with maternal wing widespread sits brooding on opponent tree why from the rank grass unde,natural history,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,"shore, ocean, sea",https://babel.hathitrust.org/cgi/pt/search?id=inu.30000080770807&q1=ocean&sz=25&start=1&sort=seq&hl=true
729,", HA-
LIBUS, who is supposed to be an accom-
plished fly-fisher; ORNITHER, who is
to be regarded as a gentleman generally
fond of the sports of the field, though
not a finished master of the art of an-
gling; POIETES, who is to be considered
as an enthusiastic lover of nature, and
partially acquainted with the myste
ries of fly-fishing; and PHYSICUs, who
is described as uninitiated as an an-
gler, but as a person fond of inqui-
ries in natural history and philoso-
-phy. There is nothing very much
amiss in this attempt at deviation
from the characters in the Complete
Angler, though manifestly a woful
want of ingenuity-originality which
last is to a book about any rural sport
-life and soul. Without it, such book
is what Sir Humphry and the che-
mists understand by a caput mor-
tuum. But the worst of it is, that the
characters, unoriginal, are also unre-
deemed by any strong natural traits,
unbrightened by the vivacity, we will
not say of genius, but even of animal
spirits, and all repeat a lesson which
they seem to have painfully conned
before reaching the river side. Sir
Humphry is seen for ever exerting
himself, to the very utmost his feeble
health would allow, to "" preserve the
similitude."" Halieus, of course, per-
forms all the feats of skill, and holds
-the rest of the party dog-cheap. Or-
-nither is the only one of the four who
ought to know an eagle when he sees
it. Never was there, on all occasions,
-such another imaginative simpleton as
Poietes; while Physicus, being ",1,0.9948729276657104,blackwood_v24_1828_inu-30000080770807-1746739609.txt,ha libus who is supposed to be an accom plished flyfisher ornither who is to be regarded as a gentleman generally fond of the sports of the field though not a finished master of the art of an gling poietes who is to be considered as an enthusiastic lover of nature and partially acquainted with the myste ries of flyfishing and physicus who is described as uninitiated as an an gler but as a person fond of inqui ries in natural history and philoso phy there is nothing very much amiss in this attempt at deviation from the characters in the complete angler though manifestly a woful want of ingenuityoriginality which last is to a book about any rural sport life and soul without it such book is what sir humphry and the che mists understand by a caput mor tuum but the worst of it is that the characters unoriginal are also unre deemed by any strong natural traits unbrightened by the vivacity we will not say of genius but even of animal spirits and all repeat a lesson which they seem to have painfully conned before reaching the river side sir humphry is seen for ever exerting himself to the very utmost his feeble health would allow to preserve the similitude halieus of course per forms all the feats of skill and holds the rest of the party dogcheap or nither is the only one of the four who ought to know an eagle when he sees it never was there on all occasions such another imaginative simpleton as poietes while physicus being,biology,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,river,https://babel.hathitrust.org/cgi/pt/search?id=inu.30000080770807&q1=river&sz=25&start=1&sort=seq&hl=true
738,"s to its poetical re-
lations, it carries us into the most wild and
beautiful scenery of nature; amongst the
mountain lakes, and the clear and lovely


## p. 254 (#266) ############################################

254
CAug.
Salmonia.
streams that gush from the higher ranges of
elevated hills, or that make their way through
the cavities of calcareous strata. How de-
lightful, in the early spring, after the dull
and tedious time of winter, when the frosts
disappear and the sunshine warms the
earth and waters, to wander forth by some
clear stream, to see the leaf bursting from
the purple bud, to scent the odours of the
bank perfumed by the violet, and enamel-
led, as it were, with the primrose and the
daisy; to wander upon the fresh turf be-
-low the shade of trees, whose bright blos
Boms are filled with the music of the bee;
and on the surface of the waters to view
the gaudy flies sparkling like animated
gems in the sunbeams, whilst the bright
and beautiful trout is watching them from
below; to hear the twittering of the water-
birds, who, alarmed at your approach, rá
pidly hide themselves beneath the flowers
and leaves of the water-lily; and as the
season advances, to find all these objects
changed for others of the same kind, but
better and brighter, till the swallow and
the trout contend as it were for the gaudy
May-fly, and till, in pursuing your amuse-
ment in the calm and balmy evening, you
are serenaded by the songs of the cheerful
thrush and melodious nightingale, per",1,0.9915860891342164,blackwood_v24_1828_inu-30000080770807-1746739609.txt,s to its poetical re lations it carries us into the most wild and beautiful scenery of nature amongst the mountain lakes and the clear and lovely p 254 266 254 caug salmonia streams that gush from the higher ranges of elevated hills or that make their way through the cavities of calcareous strata how de lightful in the early spring after the dull and tedious time of winter when the frosts disappear and the sunshine warms the earth and waters to wander forth by some clear stream to see the leaf bursting from the purple bud to scent the odours of the bank perfumed by the violet and enamel led as it were with the primrose and the daisy to wander upon the fresh turf be low the shade of trees whose bright blos boms are filled with the music of the bee and on the surface of the waters to view the gaudy flies sparkling like animated gems in the sunbeams whilst the bright and beautiful trout is watching them from below to hear the twittering of the water birds who alarmed at your approach r pidly hide themselves beneath the flowers and leaves of the waterlily and as the season advances to find all these objects changed for others of the same kind but better and brighter till the swallow and the trout contend as it were for the gaudy mayfly and till in pursuing your amuse ment in the calm and balmy evening you are serenaded by the songs of the cheerful thrush and melodious nightingale per,nature,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,stream,https://babel.hathitrust.org/cgi/pt/search?id=inu.30000080770807&q1=stream&sz=25&start=1&sort=seq&hl=true
740,"deep, strong, and useful. As it flows on
towards the sea, it loses its force and its
motion, and at last, as it were, becomes
lost and mingled with the mighty abyss of
waters.
""HAL. One might pursue the meta-
phor still further, and say, that in its ori
gin-its thundering and foam, when it car
ries down clay from the bank, and becomes
impure, it resembles the youthful mind,
affected by dangerous passions. And the
influence of a lake, in calming and clearing
the turbid water, may be compared to the
effect of reason in more mature life, when the
calm, deep, cool, and unimpassioned mind
is freed from its fever, its troubles, bubbles,
noise, and foam. And, above all, the
sources of a river,-which may be con-
sidered as belonging to the atmosphere,→
and its termination in the ocean, may be
regarded as imaging the divine origin of
the human mind, and its being ultimately
returned to, and lost in, the Infinite and
Eternal Intelligence from which it origi
nally sprung.'
This is, we think, an example of
unsuccessful ambition.
The passage
opens absurdly. Sir Humphry says,
that, as well as he recollects, Plíny has
compared a river to human life, in a
passage which he has never read! He
then says, that although he has never
read that passage which is in Pliny, as
well as he recollects, he has been a
hundred times struck with the ana-
logy! Lord preserve us! is there a
book in verse or prose, in any language,
in which human life is not likened to
a river, or a river to human life? If
ther",1,0.9938982129096984,blackwood_v24_1828_inu-30000080770807-1746739609.txt,deep strong and useful as it flows on towards the sea it loses its force and its motion and at last as it were becomes lost and mingled with the mighty abyss of waters hal one might pursue the meta phor still further and say that in its ori ginits thundering and foam when it car ries down clay from the bank and becomes impure it resembles the youthful mind affected by dangerous passions and the influence of a lake in calming and clearing the turbid water may be compared to the effect of reason in more mature life when the calm deep cool and unimpassioned mind is freed from its fever its troubles bubbles noise and foam and above all the sources of a riverwhich may be con sidered as belonging to the atmosphere and its termination in the ocean may be regarded as imaging the divine origin of the human mind and its being ultimately returned to and lost in the infinite and eternal intelligence from which it origi nally sprung this is we think an example of unsuccessful ambition the passage opens absurdly sir humphry says that as well as he recollects plny has compared a river to human life in a passage which he has never read he then says that although he has never read that passage which is in pliny as well as he recollects he has been a hundred times struck with the ana logy lord preserve us is there a book in verse or prose in any language in which human life is not likened to a river or a river to human life if ther,human nature,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,4,"ocean, sea, river, lake",https://babel.hathitrust.org/cgi/pt/search?id=inu.30000080770807&q1=river&sz=25&start=1&sort=seq&hl=true
742,"It is useful,
just in the way and to the degree in-
tended by the wisdom of all-providing
nature. What Sir Humphry means
here by ""an uncultivated tree,"" we
know no better than himself; but the
dew and spray of which he speaks,
and the running waters, do minister
to the wild-and to many-all the
creatures of the wild-as useful then
as it is when flowing in the plain
below, gladdening the yellow Ceres.
Fourthly, his comparison of the river,
when it has descended to the plain,
with the human mind in maturity, is
not at all made out-nay, look at it,
gentle reader, and you will see, that,
though he has described the river, he
has not described the mind, and that
there is, in fact, no comparison ! That
israther an oversight. What operations
or faculties of the mind answer to the
""application of the river to move ma-
chinery, to irrigate meadows, and to
bear upon its bosom the stately barge?""
Absolute and very clumsy nonsense.
Fifthly, Sir Humphry asserts, that as
a river flows on towards the sea,"" it
loses its force and its motion."" No-not
in the sense in which the mind in old
age loses its force and motion. Quite
the reverse. We hold, then, that for
the reasons given, the passage is an
example of unsuccessful ambition.
We think the following picture of a
hill-born stream joining the sea bet
ter-because more true to nature. You
may compare it to human life or not
-just as you choose but we think
you had better not-nor yet any other
description of any other stream, all
such compariso",1,0.9955539107322692,blackwood_v24_1828_inu-30000080770807-1746739609.txt,it is useful just in the way and to the degree in tended by the wisdom of allproviding nature what sir humphry means here by an uncultivated tree we know no better than himself but the dew and spray of which he speaks and the running waters do minister to the wildand to manyall the creatures of the wildas useful then as it is when flowing in the plain below gladdening the yellow ceres fourthly his comparison of the river when it has descended to the plain with the human mind in maturity is not at all made outnay look at it gentle reader and you will see that though he has described the river he has not described the mind and that there is in fact no comparison that israther an oversight what operations or faculties of the mind answer to the application of the river to move ma chinery to irrigate meadows and to bear upon its bosom the stately barge absolute and very clumsy nonsense fifthly sir humphry asserts that as a river flows on towards the sea it loses its force and its motion nonot in the sense in which the mind in old age loses its force and motion quite the reverse we hold then that for the reasons given the passage is an example of unsuccessful ambition we think the following picture of a hillborn stream joining the sea bet terbecause more true to nature you may compare it to human life or not just as you choose but we think you had better notnor yet any other description of any other stream all such compariso,nature,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,3,"sea, river, stream",https://babel.hathitrust.org/cgi/pt/search?id=inu.30000080770807&q1=river&sz=25&start=1&sort=seq&hl=true
744," Awe, at any
part of its course, and he will soon
find himself in the sea. Besides, what
does Sir Humphry mean by the
""bubbles, noise, and foam of the
mind?"" He forgets that they belong
to the river; and that he should have
told us what corresponded to them in
the mind; otherwise his metaphor is
imperfect and incomplete. We re-
peat, then, that the whole sentence is
absolute nonsense. Eighthly, the last
attempt at originality of old Halieus
"" is small and clear in its
in which he speaks of the sources
of a river, the atmosphere, and its
termination, the ocean, as imaging the
divine origin of the human mind, and
its return to the infinite and eternal
intelligence, is a murder committed at
noon-day, on a passage in Wordsworth.
""Poo-mere verbal criticism !"" me-
thinks we hear some dolt exclaim. But
Sir Humphry himself knows better;
and on reconsidering the passage he


## p. 256 (#268) ############################################

256
[Aug.
Salmonia.
will feel that had he been as careless
of his intellect in his chemical so
lutions and analyses as in these his
poetical comparisons and analogies,
and as lax in his logic in recording
their results, the name of Davy would
have been known but as that of a poor
village apothecary, instead of sound-
ing over lands and seas as that of one
of the greatest discoverers in science
of any age or country.
Men so dull over their wine must
not be expected to prove very lively
over their water. Second Day-they
try trout-fishing on the Colne, w",1,0.9945347309112548,blackwood_v24_1828_inu-30000080770807-1746739609.txt,awe at any part of its course and he will soon find himself in the sea besides what does sir humphry mean by the bubbles noise and foam of the mind he forgets that they belong to the river and that he should have told us what corresponded to them in the mind otherwise his metaphor is imperfect and incomplete we re peat then that the whole sentence is absolute nonsense eighthly the last attempt at originality of old halieus is small and clear in its in which he speaks of the sources of a river the atmosphere and its termination the ocean as imaging the divine origin of the human mind and its return to the infinite and eternal intelligence is a murder committed at noonday on a passage in wordsworth poomere verbal criticism me thinks we hear some dolt exclaim but sir humphry himself knows better and on reconsidering the passage he p 256 268 256 aug salmonia will feel that had he been as careless of his intellect in his chemical so lutions and analyses as in these his poetical comparisons and analogies and as lax in his logic in recording their results the name of davy would have been known but as that of a poor village apothecary instead of sound ing over lands and seas as that of one of the greatest discoverers in science of any age or country men so dull over their wine must not be expected to prove very lively over their water second daythey try troutfishing on the colne w,philosophy,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,"ocean, sea, river",https://babel.hathitrust.org/cgi/pt/search?id=inu.30000080770807&q1=river&sz=25&start=1&sort=seq&hl=true
755,"ral that ever
dropped invisibly, during evening-
calm, from the silken folds of the fra-
grant willow-blossom, upon the stream
that flows, yet scarcely seems to flow,
might take a lesson how still softlier
to alight on the liquid element from
that artificial fly which, unfelt as a
pile of down from the nest of the flut-
tered goldfinch, falls among the small
air-bells without breaking their fair
radiance, as if it were but the shadow
of an insect that, sporting in the air,
is reflected in the water!
We should only spoil the picture
by giving it so much as one other
single touch. Then for the Preserve
in which he angles-in all things wor-
thy of such a master of the gentle
craft! Call not one-any one-of the
sweet-running waters of England tame
-certainly not this at least-“ a li-
quid lapse"" between a burn and a
river, even as a virgin of fifteen, in
beauty bordering upon stateliness, is
now looked on as a woman, and now
as a child! Up in the woods there is
a low water-fall-so low, that the cur-
rent seems to run on a level, after heavy
rain, and then the place of rocks is re-
cognised but by faster-melting foam,
and a louder murmur. ""The stream is
placid in its flowing,"" in all ordinary
weather; and now, to the eyes of ang-
lers accustomed among mountains to
""hunt the water-falls,"" it might seem
almost sluggish-nay, stagnant. But
it is not so. Watch that air-bell, and
you will soon see it pass that bunch
Abbey !
There is not a better trouting stream,
a more populous Preserve,",1,0.993528425693512,blackwood_v24_1828_inu-30000080770807-1746739609.txt,ral that ever dropped invisibly during evening calm from the silken folds of the fra grant willowblossom upon the stream that flows yet scarcely seems to flow might take a lesson how still softlier to alight on the liquid element from that artificial fly which unfelt as a pile of down from the nest of the flut tered goldfinch falls among the small airbells without breaking their fair radiance as if it were but the shadow of an insect that sporting in the air is reflected in the water we should only spoil the picture by giving it so much as one other single touch then for the preserve in which he anglesin all things wor thy of such a master of the gentle craft call not oneany oneof the sweetrunning waters of england tame certainly not this at least a li quid lapse between a burn and a river even as a virgin of fifteen in beauty bordering upon stateliness is now looked on as a woman and now as a child up in the woods there is a low waterfallso low that the cur rent seems to run on a level after heavy rain and then the place of rocks is re cognised but by fastermelting foam and a louder murmur the stream is placid in its flowing in all ordinary weather and now to the eyes of ang lers accustomed among mountains to hunt the waterfalls it might seem almost sluggishnay stagnant but it is not so watch that airbell and you will soon see it pass that bunch abbey there is not a better trouting stream a more populous preserve,trout fishing,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,"river, stream",https://babel.hathitrust.org/cgi/pt/search?id=inu.30000080770807&q1=stream&sz=25&start=1&sort=seq&hl=true
768,"tion of the
tail white, which colour disappears as
the bird attains the adult state. Se-
cond, The SEA EAGLE, (F. Ossifra-
gus) commonly so called, is the young
of the White-tailed Eagle abovenamed,
from which it differs in having a brown
tail; for in this species the white of
the tail becomes every year more ap-
parent, as the bird encreases in age,
whereas, in the Golden Eagle, the
white altogether disappears in the
adult.
It is to the RING-TAILED EAGLE,
and, by consequence, to the GOLDEN
EAGLE, that the name of BLACK
EAGLE is applied in the Highlands.
""
The White-tailed, or Sea Eagle, as
it becomes old, attains, in addition to
the pure tail, a pale or bleached ap-
pearance, from which it may merit
and obtain the name of Grey or S11-
VER EAGLE, as Sir Humphry Davy
chooses to call it; but it is not known,
among naturalists, by that name.
There is no other species, however, to
which the name can apply; and, there-
fore, Sir Humphry has committed the
very gross mistake of calling the Grey
or Silver Eagle (to use his own no-
menclature) a very rare Eagle, since it
is the most common of all the Scotch,
and also—a fortiori-of all the Eng-
lish Eagles-being in fact the SEA-
EAGLE of the Highlands.
It preys often on fish dead or alive;
but not exclusively, as it also attacks
young lambs, and drives off the ravens
from carrion prey, being less fastidious
in its diet than the GOLDEN Eagle,
which probably kills its own meat-
and has been known to carry off chil→
dren; for a striking a",1,0.9933189153671264,blackwood_v24_1828_inu-30000080770807-1746739609.txt,tion of the tail white which colour disappears as the bird attains the adult state se cond the sea eagle f ossifra gus commonly so called is the young of the whitetailed eagle abovenamed from which it differs in having a brown tail for in this species the white of the tail becomes every year more ap parent as the bird encreases in age whereas in the golden eagle the white altogether disappears in the adult it is to the ringtailed eagle and by consequence to the golden eagle that the name of black eagle is applied in the highlands the whitetailed or sea eagle as it becomes old attains in addition to the pure tail a pale or bleached ap pearance from which it may merit and obtain the name of grey or s11 ver eagle as sir humphry davy chooses to call it but it is not known among naturalists by that name there is no other species however to which the name can apply and there fore sir humphry has committed the very gross mistake of calling the grey or silver eagle to use his own no menclature a very rare eagle since it is the most common of all the scotch and alsoa fortioriof all the eng lish eaglesbeing in fact the sea eagle of the highlands it preys often on fish dead or alive but not exclusively as it also attacks young lambs and drives off the ravens from carrion prey being less fastidious in its diet than the golden eagle which probably kills its own meat and has been known to carry off chil dren for a striking a,biology,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,sea,https://babel.hathitrust.org/cgi/pt/search?id=inu.30000080770807&q1=sea&sz=25&start=1&sort=seq&hl=true
769,"ccount of one
of which hay-field robberies, see our
splendid review of Selby's Ornithology.
As to its driving off its young, its
habits are probably similar in this re-
spect to other birds of prey, none of
which appear to keep together in fa-
milies after the young can shift for
themselves; but we have never met
with any one who has seen them in


## p. 264 (#276) ############################################

264
[Aug.
Salmonia.
the act of driving. It is stated vague
ly, in all books, of all eagles.
66
-as
As to its requiring a large range to
feed in-we have only to remark, that,
from the powerful flight of these
birds, and the wild and barren nature
of the countries which they inhabit,
there can be no doubt that they fly
far, and prey in distant isles""
Thomson has it; but Halieus needed,
not to have stated this circumstance
as a character of this peculiar eagle,—
for an eagle with a small range does
not exist; and therefore it is to be
presumed that they require a large
one.
Farther, all this being the case, there
seems to be no necessity for the old
eagles giving themselves the trouble
to drive off the young ones, who by
natural instinct will fly off of their
own accord, as soon as their wings can
bear them over the sea. If an eagle
were so partial to his native vale, as
never, on any account, hungry or
thirsty, drunk or sober, to venture in-
to the next parish, why then, the old
people would be forced, on the old
principle of self-preservation, to pack
off their progeny ",1,0.9944868683815002,blackwood_v24_1828_inu-30000080770807-1746739609.txt,ccount of one of which hayfield robberies see our splendid review of selbys ornithology as to its driving off its young its habits are probably similar in this re spect to other birds of prey none of which appear to keep together in fa milies after the young can shift for themselves but we have never met with any one who has seen them in p 264 276 264 aug salmonia the act of driving it is stated vague ly in all books of all eagles 66 as as to its requiring a large range to feed inwe have only to remark that from the powerful flight of these birds and the wild and barren nature of the countries which they inhabit there can be no doubt that they fly far and prey in distant isles thomson has it but halieus needed not to have stated this circumstance as a character of this peculiar eagle for an eagle with a small range does not exist and therefore it is to be presumed that they require a large one farther all this being the case there seems to be no necessity for the old eagles giving themselves the trouble to drive off the young ones who by natural instinct will fly off of their own accord as soon as their wings can bear them over the sea if an eagle were so partial to his native vale as never on any account hungry or thirsty drunk or sober to venture in to the next parish why then the old people would be forced on the old principle of selfpreservation to pack off their progeny,natural history,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,sea,https://babel.hathitrust.org/cgi/pt/search?id=inu.30000080770807&q1=sea&sz=25&start=1&sort=seq&hl=true
771,"e Talons.""
We have, indeed, been pained and
surprised by the frequent display of
superficial knowledge, and profound
ignorance of natural history, in a work
written by such a man as Sir Hum-
phry Davy. He must positively re-
read Kirby and Spence's Entomology.
There was no occasion in the world
for allusions to the loves of frogs and
worms. He gravely declares his be-
lief that a par is a mule between a
sea-trout and a common fresh-water
trout. And at the very same time he as-
serts, that a sea-trout and a fresh-wa-
ter trout is one and the same-that all
trouts are lineally descended from the
original sea-trout, just as all dogs are
lineally descended from the original
shepherd-dog. If so, how can a par
be a mule? But further, does not Sir
Humphry see the gross folly of sup
posing that the son of a sea-trout could
by any possibility be a par? Why,
the sea-trout being the trout of all
trouts, would not fail to improve the
progeny of the degenerated fresh-wa-
ters.
His offspring would, infallibly,
bear a strong family resemblance to
himself, in form and features, and
also in size. No reason can be assign-
ed, from the analogy of nature, why a
fine, bold, bouncing sea-trout, of some
lbs. four or six, should never have been
able to beget, among all his paramours
of fresh-water birth, anything above
a par!
Our anglers now disembark, and
walk about a mile down the river
Ewe to their fishing station-and go
to work. Here is a specimen of Sir
Humphry's powers as a writer of
dialogues ",1,0.9942430853843688,blackwood_v24_1828_inu-30000080770807-1746739609.txt,e talons we have indeed been pained and surprised by the frequent display of superficial knowledge and profound ignorance of natural history in a work written by such a man as sir hum phry davy he must positively re read kirby and spences entomology there was no occasion in the world for allusions to the loves of frogs and worms he gravely declares his be lief that a par is a mule between a seatrout and a common freshwater trout and at the very same time he as serts that a seatrout and a freshwa ter trout is one and the samethat all trouts are lineally descended from the original seatrout just as all dogs are lineally descended from the original shepherddog if so how can a par be a mule but further does not sir humphry see the gross folly of sup posing that the son of a seatrout could by any possibility be a par why the seatrout being the trout of all trouts would not fail to improve the progeny of the degenerated freshwa ters his offspring would infallibly bear a strong family resemblance to himself in form and features and also in size no reason can be assign ed from the analogy of nature why a fine bold bouncing seatrout of some lbs four or six should never have been able to beget among all his paramours of freshwater birth anything above a par our anglers now disembark and walk about a mile down the river ewe to their fishing stationand go to work here is a specimen of sir humphrys powers as a writer of dialogues,science,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,"sea, river",https://babel.hathitrust.org/cgi/pt/search?id=inu.30000080770807&q1=sea&sz=25&start=1&sort=seq&hl=true
