half_page_number,text,predicted_label,science_prob,source_file,clean_text,llm_topic,kw_shore,kw_ocean,kw_sea,kw_river,kw_lake,kw_pond,kw_stream,kw_creek,kw_wetland,kw_reservoir,kw_estuary,kw_gulf,kw_bay,kw_body_of_water,kw_bodies_of_water,keyword_count,keywords_found,document_link
181,"iven to those who press forward to the high
mark of making their calling and election sure, 361.
Recorded action of individual life, 610.
LOVE, an indication of celebral excitement. Could not
have existed in the garden of Eden between two
persons without a choice, 98.
LYING, a moral pestilence, 51.
M.
MAGIC, a word expressive of knowledge, but now used
falsely to express sacred power, 20.
MAN, perfectible, 20. The fountain to receive know-
ledge, 183. Necessity of being born again, 195. A
well-informed man never haughty, nor conceited, nor
turbulent, 195. Has not a natural faculty but in
which he is excelled by some other animal, 353.
His origin past all means of being traced, 353. In-
sane, 357.
MANNERS, perfectible, 20.
MATTER, has only a meaning in application to particu-
lars, no general or compounded meaning, 19.
MELCHIZEDEC, etymologically, a righteous king; but
mystically and by perversion, the union of kingcraft
and priestcraft, 340.
MICHAEL, a divine warrior; such as is now much
wanted, 340.
MIND, not subdued by fierceness, but by gentle
persuasion; past mind a Babel, 3. Synonymous
with soul or spirit, 18. Is bodily action; death
its extinction; living body improvable, 19.
Wants a fostering encouragement,
Some
minds may be shocked, and some mildly reasoned
into new views of things, 179. A personification,
50.
193.
MISSIONARY, sketch of a tract distributor, 56.
81.
MOON, has no influence on the tides of the ocean,
MORAL DISCIPLINE. Its essence is truth-telling, 52.
MO",1,0.9948179125785828,isis1832_njp-32101059455541-1746735414.txt,iven to those who press forward to the high mark of making their calling and election sure 361 recorded action of individual life 610 love an indication of celebral excitement could not have existed in the garden of eden between two persons without a choice 98 lying a moral pestilence 51 m magic a word expressive of knowledge but now used falsely to express sacred power 20 man perfectible 20 the fountain to receive know ledge 183 necessity of being born again 195 a wellinformed man never haughty nor conceited nor turbulent 195 has not a natural faculty but in which he is excelled by some other animal 353 his origin past all means of being traced 353 in sane 357 manners perfectible 20 matter has only a meaning in application to particu lars no general or compounded meaning 19 melchizedec etymologically a righteous king but mystically and by perversion the union of kingcraft and priestcraft 340 michael a divine warrior such as is now much wanted 340 mind not subdued by fierceness but by gentle persuasion past mind a babel 3 synonymous with soul or spirit 18 is bodily action death its extinction living body improvable 19 wants a fostering encouragement some minds may be shocked and some mildly reasoned into new views of things 179 a personification 50 193 missionary sketch of a tract distributor 56 81 moon has no influence on the tides of the ocean moral discipline its essence is truthtelling 52 mo,philosophy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ocean,https://babel.hathitrust.org/cgi/pt?id=njp.32101059455541&seq=362&q1=ocean
534,"ublic teacher; or in his private cha-
racter, as an individual social being; for it is on the
formation of character that both the individual and
the social welfare depends.
SIXPENCE
On the very threshold of this subject, I dash it to
pieces, and scatter it to the winds, as a piece of vile
and mischievous superstition; by saying, that man has
no such knowledge, neither are there any means by
which he can obtain such knowledge; and to the proof
of this assumption I proceed.
I have lately seen the subject of assumed astrological
influence, on the formation of the human character,
presumptuously dignified with the title of Zodiacal
Physiognomy. It will not pass with me, even under
that title. The author, of the name of Varley, prefaces
his subject with the unfounded assumption, that the
knowledge of planetary influence on human birth is
as certain as that the moon produces the tides of the
ocean. Not even so, as to the regularity of coincident
appearances; but if it were as regular in appearance,
and as certain, that amount of certainty is just nothing
at all; for it is by no means certain that the moon has
the least influence on the tides of the ocean.
It is an
assumption beginning to be much and irrefutably dis-
puted, inasmuch as the assumed principle of influence
is contrary to all mechanical action, and, if adopted,
accounts but for a small portion of the motions of the
Tides are only perceptible on the coasts. The
influx upon one must be accompanied by the reflux
from anot",1,0.9955086708068848,isis1832_njp-32101059455541-1746735414.txt,ublic teacher or in his private cha racter as an individual social being for it is on the formation of character that both the individual and the social welfare depends sixpence on the very threshold of this subject i dash it to pieces and scatter it to the winds as a piece of vile and mischievous superstition by saying that man has no such knowledge neither are there any means by which he can obtain such knowledge and to the proof of this assumption i proceed i have lately seen the subject of assumed astrological influence on the formation of the human character presumptuously dignified with the title of zodiacal physiognomy it will not pass with me even under that title the author of the name of varley prefaces his subject with the unfounded assumption that the knowledge of planetary influence on human birth is as certain as that the moon produces the tides of the ocean not even so as to the regularity of coincident appearances but if it were as regular in appearance and as certain that amount of certainty is just nothing at all for it is by no means certain that the moon has the least influence on the tides of the ocean it is an assumption beginning to be much and irrefutably dis puted inasmuch as the assumed principle of influence is contrary to all mechanical action and if adopted accounts but for a small portion of the motions of the tides are only perceptible on the coasts the influx upon one must be accompanied by the reflux from anot,natural history,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ocean,https://babel.hathitrust.org/cgi/pt?id=njp.32101059455541&seq=1068&q1=ocean
535,"her series of coasts; and it is much more likely
that such a change of influx and reflux is connected
more immediately with the motions of the earth itself,
than with the motions of the moon. The assumed
power of the moon to raise the tides an inch would be
a power equal to draw the whole ocean from its bed,
and from the earth. The reason why the moon has
been connected with the tides has been, because there
are uniform monthly appearances of each; but both
evidently derived from a common source, the motions
of the earth. So Mr. Varley's comparison is a failure
and it can be more easily shown that his principle is
a failure.
sea.
The consideration of this subject must be brought
under four general heads, because there are four classes
of pretension to explain it. In the order of seniority
they will stand thus: the Astrologer the Physiologist
-the Educationist-the Phrenologist.
The subject of the formation of character has evi-
dently engaged the attention of mankind from the
most remote periods, and is found mixed up with
every religion,with every species of moral instruc-
tion; with every secret association and pretension
to mystery, and with that which has been errone-
ously called occult science, which may be taken
to include religion and mystery; and, however defec-
tive in its principles, may, for the sake of illustration,
pass under the name of Astrology, or a reading or
learning of the stars, a discourse about starry influences.
The only real and defensible astrology i",1,0.9956082701683044,isis1832_njp-32101059455541-1746735414.txt,her series of coasts and it is much more likely that such a change of influx and reflux is connected more immediately with the motions of the earth itself than with the motions of the moon the assumed power of the moon to raise the tides an inch would be a power equal to draw the whole ocean from its bed and from the earth the reason why the moon has been connected with the tides has been because there are uniform monthly appearances of each but both evidently derived from a common source the motions of the earth so mr varleys comparison is a failure and it can be more easily shown that his principle is a failure sea the consideration of this subject must be brought under four general heads because there are four classes of pretension to explain it in the order of seniority they will stand thus the astrologer the physiologist the educationistthe phrenologist the subject of the formation of character has evi dently engaged the attention of mankind from the most remote periods and is found mixed up with every religionwith every species of moral instruc tion with every secret association and pretension to mystery and with that which has been errone ously called occult science which may be taken to include religion and mystery and however defec tive in its principles may for the sake of illustration pass under the name of astrology or a reading or learning of the stars a discourse about starry influences the only real and defensible astrology i,natural history,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"ocean, sea",https://babel.hathitrust.org/cgi/pt?id=njp.32101059455541&seq=1070&q1=ocean
536,"s that which
is now more familiarly known as the science of astro-
nomy-a certain degree of knowledge of the size, mo-
tions, and distances of the planets of our solar system,
and their relative positions with the fixed stars, or To suppose that the infant takes its character, com-
other solar systems. The real knowledge of this kind plexion, and temperament, from planetary or astral in-
is
very
small in amount, and almost useless to man, fluence, at its birth, is to leave no connection with pa-
n any other purpose than that of navigating the ocean, rents, climate, or circumstances of any other kind. ´ If
measuring time and geographical distance, and over-the power to give feature and temperament were astral,
throwing superstition.
there could be no family identity, and we should all
be the children of Israel, or of the starry hosts. Now
we do see family likenesses; likeness of father and of
mother; a mixed likeness of both; likeness even of
The common notion which has been attached to the
word astrology, for several centuries, has been, that re-
lative positions of the planets, with the stars, have cer-
tain influences on the formation of the human charac-grandfathers, grandmothers, uncles, aunts, and cousins
ter and on human affairs.
to a remote degree; enough to prove that family phy.
VOL.
G


## p. 82 (#146) #############################################

3338
THE ISIS.
82
siology has more influence over the infant than is de-
rived from all external circumstances put tog",1,0.9949764013290404,isis1832_njp-32101059455541-1746735414.txt,s that which is now more familiarly known as the science of astro nomya certain degree of knowledge of the size mo tions and distances of the planets of our solar system and their relative positions with the fixed stars or to suppose that the infant takes its character com other solar systems the real knowledge of this kind plexion and temperament from planetary or astral in is very small in amount and almost useless to man fluence at its birth is to leave no connection with pa n any other purpose than that of navigating the ocean rents climate or circumstances of any other kind if measuring time and geographical distance and overthe power to give feature and temperament were astral throwing superstition there could be no family identity and we should all be the children of israel or of the starry hosts now we do see family likenesses likeness of father and of mother a mixed likeness of both likeness even of the common notion which has been attached to the word astrology for several centuries has been that re lative positions of the planets with the stars have cer tain influences on the formation of the human characgrandfathers grandmothers uncles aunts and cousins ter and on human affairs to a remote degree enough to prove that family phy vol g p 82 146 3338 the isis 82 siology has more influence over the infant than is de rived from all external circumstances put tog,taxonomy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ocean,https://babel.hathitrust.org/cgi/pt?id=njp.32101059455541&seq=1072&q1=ocean
538,"ind to surrounding circumstances,
both physical and moral, that produce character.
There are also atmospherical and local influences,
which enter into the composition of man; such as that
of crowded cities, of the sea-coast, of the neighbour-
hood of large rivers, mines, romantic scenery, eleva-
tions, heath, forest, and morass; but it is man's mad
and vagrant conceit that can, alone induce him to look
beyond the earth's atmosphere, to explain anything in
the productions of the earth.
4
This comes of stupifying the brain with conceits
about the stars, and keeping the human race in a state
of perpetual childhood, by giving it a religion whereon
to waste its time, its means, and all its energies. It
is like giving it a riddle through life, which is not even
solved at death.
A volume of facts may be written against the claims
of those who seek an astral formation of character. In
an hour's discourse, a quarter of which can only be de-
inter-voted to this part of the subject, nothing more than
some general points, sufficient for elucidation, can be
introduced.
This, I think, has been done; the summary of which
is, that the evidence of variety, under the same astral
relations, both as to genus and nationality, and lo-
cality; the visible influence of family physiognomy,
the effects of education upon organization, to be ex
plained under the third head of inquiry, the utter im-
possibility of proving anything by unknown causes,
the proof that one failure falsifies the whole assump
t",1,0.9960761070251464,isis1832_njp-32101059455541-1746735414.txt,ind to surrounding circumstances both physical and moral that produce character there are also atmospherical and local influences which enter into the composition of man such as that of crowded cities of the seacoast of the neighbour hood of large rivers mines romantic scenery eleva tions heath forest and morass but it is mans mad and vagrant conceit that can alone induce him to look beyond the earths atmosphere to explain anything in the productions of the earth 4 this comes of stupifying the brain with conceits about the stars and keeping the human race in a state of perpetual childhood by giving it a religion whereon to waste its time its means and all its energies it is like giving it a riddle through life which is not even solved at death a volume of facts may be written against the claims of those who seek an astral formation of character in an hours discourse a quarter of which can only be de intervoted to this part of the subject nothing more than some general points sufficient for elucidation can be introduced this i think has been done the summary of which is that the evidence of variety under the same astral relations both as to genus and nationality and lo cality the visible influence of family physiognomy the effects of education upon organization to be ex plained under the third head of inquiry the utter im possibility of proving anything by unknown causes the proof that one failure falsifies the whole assump t,astronomy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,sea,https://babel.hathitrust.org/cgi/pt?id=njp.32101059455541&seq=1076&q1=sea
674,"ing about useful possessions, a low state of animal
life. It is a state of life, in which there is wanting the
mainspring to virtue, and to every degree of eminence
and happiness. Man may remain in such a state for
ages unknown, as was the case with some of the in-
four-habitants of the southern pacific ocean, and more par-
ticularly those of New Holland. Even in Europe,
with all the advantages of education and example, we
see men pass through life without receiving the stimu
lus to improve mind or bodily condition. We see
others receiving that stimulus, at different periods of
life; but never too late to be useful. If taken young,
distinction is sure to follow. If this be a correct view
of the human character in society, I claim the admis-
sion, that the course which we are now taking, in
free inquiry and free discussion,, is better calculated to
germinate and foster the stimulus to be desired, than
any religious ceremony that has ever been practised.
However melodious may be the church ceremony
however delightfully the organ may be played; how
ever sweet the voices that may sing; however solemn
the chaunt; and however impressive the religious dis-
course; it all passes and ends without intellectual im-
provement. It is all a pantomime to the intellect.
It is all an acting in parts; there is no sentiment,
reason, no intellectual sincerity, no conviction of
right, no comparative usefulness, no defence to be
made against criticism. The law will not allow it to
be laughed at, a",1,0.9937090873718262,isis1832_njp-32101059455541-1746735414.txt,ing about useful possessions a low state of animal life it is a state of life in which there is wanting the mainspring to virtue and to every degree of eminence and happiness man may remain in such a state for ages unknown as was the case with some of the in fourhabitants of the southern pacific ocean and more par ticularly those of new holland even in europe with all the advantages of education and example we see men pass through life without receiving the stimu lus to improve mind or bodily condition we see others receiving that stimulus at different periods of life but never too late to be useful if taken young distinction is sure to follow if this be a correct view of the human character in society i claim the admis sion that the course which we are now taking in free inquiry and free discussion is better calculated to germinate and foster the stimulus to be desired than any religious ceremony that has ever been practised however melodious may be the church ceremony however delightfully the organ may be played how ever sweet the voices that may sing however solemn the chaunt and however impressive the religious dis course it all passes and ends without intellectual im provement it is all a pantomime to the intellect it is all an acting in parts there is no sentiment reason no intellectual sincerity no conviction of right no comparative usefulness no defence to be made against criticism the law will not allow it to be laughed at a,philosophy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ocean,https://babel.hathitrust.org/cgi/pt?id=njp.32101059455541&seq=1348&q1=ocean
896,"an upright posture, with
a silent tongue, and look demure, is a daily punish-marriage, and of baptism, or the registering of births,
But the dull routine of prayers and of sermon-hearing,
is better suited to cattle, than to intellectual man,
The time which is spent on each attendance at church,
being from two to three hours, if applied to a good
book, or to an experiment in chemistry, or to an in.
tellectual conversation with friends, would leave some
improvement of mind; if it were occupied in a garden,
or in a walk in the fields, it would be a healthful re-
creation; if in hearing a scientific lecture, an advan-
tage, or something new would be gained; if in seeing
a fine dramatic performance, the capabilities of the
human character are presented to contemplation, and
act alike to our instruction and amusement; but in a
church, it is like the dead burying the dead, and the
only definition that can be given of that scriptural
passage. Let the dead bury the dead, but follow you me.
This system will be supported, and the spreading
of knowledge will be impeded, so long as the church
can draw its immense revenue in taxes upon the peo-
ple.. The house in which we are now assembled, is
rated to the extent of twenty pounds a-year, for that
pauperism which the church has made, and left to be
otherwise provided for; and what with the new church
and the old church, in the present year, to the full
The land, the ocean, and the atmosphere, are inex-
haustible store-houses of knowledge fo",1,0.994912564754486,isis1832_njp-32101059455541-1746735414.txt,an upright posture with a silent tongue and look demure is a daily punishmarriage and of baptism or the registering of births but the dull routine of prayers and of sermonhearing is better suited to cattle than to intellectual man the time which is spent on each attendance at church being from two to three hours if applied to a good book or to an experiment in chemistry or to an in tellectual conversation with friends would leave some improvement of mind if it were occupied in a garden or in a walk in the fields it would be a healthful re creation if in hearing a scientific lecture an advan tage or something new would be gained if in seeing a fine dramatic performance the capabilities of the human character are presented to contemplation and act alike to our instruction and amusement but in a church it is like the dead burying the dead and the only definition that can be given of that scriptural passage let the dead bury the dead but follow you me this system will be supported and the spreading of knowledge will be impeded so long as the church can draw its immense revenue in taxes upon the peo ple the house in which we are now assembled is rated to the extent of twenty pounds ayear for that pauperism which the church has made and left to be otherwise provided for and what with the new church and the old church in the present year to the full the land the ocean and the atmosphere are inex haustible storehouses of knowledge fo,religion,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ocean,https://babel.hathitrust.org/cgi/pt?id=njp.32101059455541&seq=1792&q1=ocean
1000,"hen alive, and an article of
human food when dead. This class of animals are
serviceable in tilling the earth for the purpose of agri-
culture.
""Isis has been represented as the moon; Osiris as
the sun. She has been represented as a female bearing
a globe in one hand, and a bunch of corn in the other.
This is the most antient figure, and inscriptions under
her have been to this import: ""I am all that has been,
that shall be, and none among mortals has hitherto
taken off my veil."" Alluding to the mysteries of na-
ture. See the front of the Egyptian Hall, Piccadilly;
Our London Isis intends to take off her veil and
display nature to us in all its loveliness.
66
""Delectable Isis ! shall I address you as the mother
of waters, the first source of the richest river in the
world? From you our Thames issues into existence.*
The treasures of the earth are unlocked by the key
of Wiltshire, nourished by the proceeds from the churn
of Cirencester. As you proceed, the Cotswold hills
of Gloucestershire (fed by fogs and dews) give vigour
to your existence by the tributary streams which flow
over the Oolitish formation, (the egg, the Roestone
stratum of earth). The calcareous matter, which you
there receive, adds to your salubrity. The ovate form
of this considerable deposit of earths, calls forth an
idea, that you issue from the eggs of the earth. Eggs
only belong to the animal kingdom, you are the off-
spring of eggs; therefore, as the great astronomer
Kepler has called you the veins of th",1,0.9955599308013916,isis1832_njp-32101059455541-1746735414.txt,hen alive and an article of human food when dead this class of animals are serviceable in tilling the earth for the purpose of agri culture isis has been represented as the moon osiris as the sun she has been represented as a female bearing a globe in one hand and a bunch of corn in the other this is the most antient figure and inscriptions under her have been to this import i am all that has been that shall be and none among mortals has hitherto taken off my veil alluding to the mysteries of na ture see the front of the egyptian hall piccadilly our london isis intends to take off her veil and display nature to us in all its loveliness 66 delectable isis shall i address you as the mother of waters the first source of the richest river in the world from you our thames issues into existence the treasures of the earth are unlocked by the key of wiltshire nourished by the proceeds from the churn of cirencester as you proceed the cotswold hills of gloucestershire fed by fogs and dews give vigour to your existence by the tributary streams which flow over the oolitish formation the egg the roestone stratum of earth the calcareous matter which you there receive adds to your salubrity the ovate form of this considerable deposit of earths calls forth an idea that you issue from the eggs of the earth eggs only belong to the animal kingdom you are the off spring of eggs therefore as the great astronomer kepler has called you the veins of th,nature,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,river,https://babel.hathitrust.org/cgi/pt?id=njp.32101059455541&seq=2000&q1=river
1001,"e animal earth,
so let ye be the vital part of that earth. My logic
runs riot, and must address you in another strain.
""Shall I address you, O Isis, as a mere mass of
nerves, a monade, a commencement of animal life, a
polypifer, a link between the animal and the vegetable
creation? How diminutive you appear in this charac-
ter; yet, how interesting you are, although affixed to
a stone, not having locomotion, a life of nerves alone,
with a horny substance in the centre, giving the ap-
pearance of a tree, whilst the cortical part is evidently
life, and falls off on being removed out of the water.
The principle river changes its name from Thames to lais,
above Dorchester. The smaller stream is from Thame.
""Which ever way we turn, to the lowest, to the
highest of nature's works, we find plenty of food for
reflection, for inquiry, far above the ideal inquiries of
spiritual existences. O that man should debase him-
self with such maddening speculations.""
E. J. L.
Mr. Carlile desires me to say, that he did not notice
Eratosthenes, as quoted by E. B., not from any fear
of the argument to be there deduced; but because he
did not know the substance of the matter mentioned
by that author. Instead of referring to authors by
name, it will be better that E. B. quote the matter
from them, and it shall be fully noticed. I promise
to print every mention that can be produced of the
Jews, before the Christian era, the Bible and Apocry-
phal books excepted, if E. B. or any one will extract
it fo",1,0.996159017086029,isis1832_njp-32101059455541-1746735414.txt,e animal earth so let ye be the vital part of that earth my logic runs riot and must address you in another strain shall i address you o isis as a mere mass of nerves a monade a commencement of animal life a polypifer a link between the animal and the vegetable creation how diminutive you appear in this charac ter yet how interesting you are although affixed to a stone not having locomotion a life of nerves alone with a horny substance in the centre giving the ap pearance of a tree whilst the cortical part is evidently life and falls off on being removed out of the water the principle river changes its name from thames to lais above dorchester the smaller stream is from thame which ever way we turn to the lowest to the highest of natures works we find plenty of food for reflection for inquiry far above the ideal inquiries of spiritual existences o that man should debase him self with such maddening speculations e j l mr carlile desires me to say that he did not notice eratosthenes as quoted by e b not from any fear of the argument to be there deduced but because he did not know the substance of the matter mentioned by that author instead of referring to authors by name it will be better that e b quote the matter from them and it shall be fully noticed i promise to print every mention that can be produced of the jews before the christian era the bible and apocry phal books excepted if e b or any one will extract it fo,historical,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,"river, stream",https://babel.hathitrust.org/cgi/pt?id=njp.32101059455541&seq=2002&q1=river
1016,"ge to a man so educated is,
first or gradually to unlearn that which he has errone-
ously learned, so as to begin the real acquisition of
knowledge where he began as a child; to be even born
again.
At the 20th verse of the eighteenth chapter of the
Gospel according to Saint Matthew, from which I
take the first part of my text, there are these words:
Where two or three are gathered together in my
name, there am I in the midst of them:"" than which
nothing can be more plain:-Where two or three per-
sons are gathered together in pursuit of knowledge,
knowledge they will find among them.
The Gospel is the most ancient piece of writing in
existence that has taught us that knowledge is power,
and that it will go on to equalize mankind. We are
told that faith will remove mountains; but, for faith,
which, in our present state of language, is a word
without meaning, we must read knowledge; and we
know that, by the aid of mechanical power, we can
remove mountains, and cast them into the sea; but
we cannot do so, without the necessary knowledge of
mechanical power; nor can it be done by any other
means.
At the 32d verse of the twenty-second chapter, we
read :-"" God is not the God of the dead, but of the
living;"" which is so striking a truth, that it should
confound the advocates of life after death, while it
accords with my interpretation, that, as God is know-
ledge, God is the God of the living; for knowledge
has no concern with the dead, nor the dead with know-
ledge. The dead are gon",1,0.9907464981079102,isis1832_njp-32101059455541-1746735414.txt,ge to a man so educated is first or gradually to unlearn that which he has errone ously learned so as to begin the real acquisition of knowledge where he began as a child to be even born again at the 20th verse of the eighteenth chapter of the gospel according to saint matthew from which i take the first part of my text there are these words where two or three are gathered together in my name there am i in the midst of them than which nothing can be more plainwhere two or three per sons are gathered together in pursuit of knowledge knowledge they will find among them the gospel is the most ancient piece of writing in existence that has taught us that knowledge is power and that it will go on to equalize mankind we are told that faith will remove mountains but for faith which in our present state of language is a word without meaning we must read knowledge and we know that by the aid of mechanical power we can remove mountains and cast them into the sea but we cannot do so without the necessary knowledge of mechanical power nor can it be done by any other means at the 32d verse of the twentysecond chapter we read god is not the god of the dead but of the living which is so striking a truth that it should confound the advocates of life after death while it accords with my interpretation that as god is know ledge god is the god of the living for knowledge has no concern with the dead nor the dead with know ledge the dead are gon,science,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,sea,https://babel.hathitrust.org/cgi/pt?id=njp.32101059455541&seq=2032&q1=sea
