half_page_number,text,predicted_label,science_prob,source_file,clean_text,llm_topic
25,"#########

xii
REFERENCE TO
CIRCUMSTANCES-Man may be the creator of some
and the creature of others, 130.
CREATION, origin of things not to be accounted for.
No better account than that of the Bible; but that
not good. Geology affords none, 6. Universal
creation, what does it mean? 17.
CRITICISM, nothing sectarian can bear up against it, 186.
Useful and necessary to man's improvement, 277.
Priests conserve the Bible from criticism 290.
CROWN, its dignity considered and inquired into, 291.
D.
DAVID, God, as knowledge and king of Israel, and
father of Jesus, or Reason, 339.
DEATH, has no benefits. Is an evil to a well spent
life, 36. Man born with the seeds of death, 37.
Why should we think of it? We have nothing
to do with it, 114. Eternal extinction of person,
245. Not to be desired by health and integrity, 278.
Extinction or cessation of individual life, and of sen-
sation, the natural means of making room for new in-
dividual life; change of state of being; dissolution of
organization, 339, 610.
DESIGN, originally human, 353.
DEVIL, the spirit of evil, an apology for human vice,
339.
""
DISCUSSION, its freedom, the most wholesome exer-
cise in which we can engage, an excellent medicine
for old maids, 39. The grand panacea for all
moral or mental pestilences, 51. In theological
discussions both parties necessarily wrong, 82.
Mutual error in discussing systems; for none are
perfect, 83. Definition of terms the essentiality of
philosophical discussion, 145. Distinction between
",1,0.992440938949585,isis1832_njp-32101059455541-1746735414.txt,xii reference to circumstancesman may be the creator of some and the creature of others 130 creation origin of things not to be accounted for no better account than that of the bible but that not good geology affords none 6 universal creation what does it mean 17 criticism nothing sectarian can bear up against it 186 useful and necessary to mans improvement 277 priests conserve the bible from criticism 290 crown its dignity considered and inquired into 291 d david god as knowledge and king of israel and father of jesus or reason 339 death has no benefits is an evil to a well spent life 36 man born with the seeds of death 37 why should we think of it we have nothing to do with it 114 eternal extinction of person 245 not to be desired by health and integrity 278 extinction or cessation of individual life and of sen sation the natural means of making room for new in dividual life change of state of being dissolution of organization 339 610 design originally human 353 devil the spirit of evil an apology for human vice 339 discussion its freedom the most wholesome exer cise in which we can engage an excellent medicine for old maids 39 the grand panacea for all moral or mental pestilences 51 in theological discussions both parties necessarily wrong 82 mutual error in discussing systems for none are perfect 83 definition of terms the essentiality of philosophical discussion 145 distinction between,philosophy
32,"names of God; the principle of in-
tegrity founded on knowledge, 339.
K.
KING. The best and honestest accountant and book-
keeper will make the best king, 148. All kings
are Herods, 197. God the only proper king, 261.
Forbidden by knowledge, 289. A generally useless
and mischievous public officer, 339.
KINDNESS, inspires affection, 174.
KINGDOM OF HEAVEN, the government of know-
ledge and honesty, 339.
KNOWLEDGE, is power-more powerful with money, 5.
Rather progressive than retrogresive, 7. Two ideas
in one language, better than one in two languages.
Plain and simple knowledge not the taste of the an-
cients, 8. Requires free discussion, 20. No change
from knowledge to ignorance, 50. Cannot extend
beyond chemistry, astronomy, and geology, 121. Its
pursuit always useful and pleasant, 162. Purified
by criticism and improved by discussion, 163. Its
pursuit should be made pleasant to children, 166.
No sacred knowledge worth a rush to mankind, 176.
Ancients sought to preserve physical knowledge in
allegory and dramatic exhibition, 179. Nothing
survives of man but recorded knowledge, 179.
Daily productions for the wants of the body an es-
sential piece of knowledge, 179. Superior to wealth,
180. Not to be acquired without labour, 180. Is
accumulative and progressive, 185. Should be com-
municated freely as the first duty of man, 195.
Lost by neglect, 197. Is of a triple nature, or a
trinity in unity, 209. Is truth, 211. Is the all in
all, or Christ of man, 215. The common Messiah
o",1,0.9940698146820068,isis1832_njp-32101059455541-1746735414.txt,names of god the principle of in tegrity founded on knowledge 339 k king the best and honestest accountant and book keeper will make the best king 148 all kings are herods 197 god the only proper king 261 forbidden by knowledge 289 a generally useless and mischievous public officer 339 kindness inspires affection 174 kingdom of heaven the government of know ledge and honesty 339 knowledge is powermore powerful with money 5 rather progressive than retrogresive 7 two ideas in one language better than one in two languages plain and simple knowledge not the taste of the an cients 8 requires free discussion 20 no change from knowledge to ignorance 50 cannot extend beyond chemistry astronomy and geology 121 its pursuit always useful and pleasant 162 purified by criticism and improved by discussion 163 its pursuit should be made pleasant to children 166 no sacred knowledge worth a rush to mankind 176 ancients sought to preserve physical knowledge in allegory and dramatic exhibition 179 nothing survives of man but recorded knowledge 179 daily productions for the wants of the body an es sential piece of knowledge 179 superior to wealth 180 not to be acquired without labour 180 is accumulative and progressive 185 should be com municated freely as the first duty of man 195 lost by neglect 197 is of a triple nature or a trinity in unity 209 is truth 211 is the all in all or christ of man 215 the common messiah o,natural history
34,"oncatenation of animal or
vegetable fibre, 361. A span of time, 610.
LIFE (moral), to be born again; to gain knowledge;
to live to useful purpose; addition of spirit, or soul,
or mind, to physical life, 361.
LIFE (eternal), an eminent degree of useful knowledge
well applied to the general instruction of mankind; a
promise given to those who press forward to the high
mark of making their calling and election sure, 361.
Recorded action of individual life, 610.
LOVE, an indication of celebral excitement. Could not
have existed in the garden of Eden between two
persons without a choice, 98.
LYING, a moral pestilence, 51.
M.
MAGIC, a word expressive of knowledge, but now used
falsely to express sacred power, 20.
MAN, perfectible, 20. The fountain to receive know-
ledge, 183. Necessity of being born again, 195. A
well-informed man never haughty, nor conceited, nor
turbulent, 195. Has not a natural faculty but in
which he is excelled by some other animal, 353.
His origin past all means of being traced, 353. In-
sane, 357.
MANNERS, perfectible, 20.
MATTER, has only a meaning in application to particu-
lars, no general or compounded meaning, 19.
MELCHIZEDEC, etymologically, a righteous king; but
mystically and by perversion, the union of kingcraft
and priestcraft, 340.
MICHAEL, a divine warrior; such as is now much
wanted, 340.
MIND, not subdued by fierceness, but by gentle
persuasion; past mind a Babel, 3. Synonymous
with soul or spirit, 18. Is bodily action; death
its extinction; li",1,0.9951022267341614,isis1832_njp-32101059455541-1746735414.txt,oncatenation of animal or vegetable fibre 361 a span of time 610 life moral to be born again to gain knowledge to live to useful purpose addition of spirit or soul or mind to physical life 361 life eternal an eminent degree of useful knowledge well applied to the general instruction of mankind a promise given to those who press forward to the high mark of making their calling and election sure 361 recorded action of individual life 610 love an indication of celebral excitement could not have existed in the garden of eden between two persons without a choice 98 lying a moral pestilence 51 m magic a word expressive of knowledge but now used falsely to express sacred power 20 man perfectible 20 the fountain to receive know ledge 183 necessity of being born again 195 a wellinformed man never haughty nor conceited nor turbulent 195 has not a natural faculty but in which he is excelled by some other animal 353 his origin past all means of being traced 353 in sane 357 manners perfectible 20 matter has only a meaning in application to particu lars no general or compounded meaning 19 melchizedec etymologically a righteous king but mystically and by perversion the union of kingcraft and priestcraft 340 michael a divine warrior such as is now much wanted 340 mind not subdued by fierceness but by gentle persuasion past mind a babel 3 synonymous with soul or spirit 18 is bodily action death its extinction li,science
40," spiritual interpretation, 260.
T.
SON (of man) an unschooled or unintellectual man, 361.
SON (of God) a schooled and intellectual man, 361.
SOUL, synonymous with spirit and mind; action of
life, 18. Death, its extinction. Living body.
Improvable, 19, 340.
SPIRIT, synonymous with soul, life, mind, 18. Death
its extinction. Living body. Improvable, 19. Man
knows nothing of it, in relation to any whole of
things, 20. The sword of knowledge, 340.
SPIRIT of God, just beginning to move upon the face
of the waters, 353.
SUPERSTITION, defined, 1. Not truth; consists of
false similitudes, 2.
Found man a savage, and
has left him a savage, 20. Necessarily ceremonial,
115. An expensive evil, 146.. A personification of
effects in physics, where the causes are naturally
either chemical or mechanical; in morals where they
mysteriously arise from animal excitement, 146.
The root of all evil, 147. The master evil, 159.
Consists of ideas not applicable to the uses of life,
162. Is an intoxication without intervals of so-
TEMPLE OF THE LORD, physically, a zodiacal pic-
ture of astronomy, 308. Morally, a school for the
best instruction of mankind, 321. The spirit of
freemasonry, Judaism, and Christianity, 321, 340,
THEISM, or Deism, the religion of astral observation,
8.
THEORIES, unpractised, are whims, 53.
TITHES, six letters of blood, 14.
Infi-TIME, is life, 245.
TRINITY, defined, 209.
TRUTH, never wears out, 2. That the best which con-
duces to the greatest happiness of the greatest num-
be",1,0.9939690828323364,isis1832_njp-32101059455541-1746735414.txt,spiritual interpretation 260 t son of man an unschooled or unintellectual man 361 son of god a schooled and intellectual man 361 soul synonymous with spirit and mind action of life 18 death its extinction living body improvable 19 340 spirit synonymous with soul life mind 18 death its extinction living body improvable 19 man knows nothing of it in relation to any whole of things 20 the sword of knowledge 340 spirit of god just beginning to move upon the face of the waters 353 superstition defined 1 not truth consists of false similitudes 2 found man a savage and has left him a savage 20 necessarily ceremonial 115 an expensive evil 146 a personification of effects in physics where the causes are naturally either chemical or mechanical in morals where they mysteriously arise from animal excitement 146 the root of all evil 147 the master evil 159 consists of ideas not applicable to the uses of life 162 is an intoxication without intervals of so temple of the lord physically a zodiacal pic ture of astronomy 308 morally a school for the best instruction of mankind 321 the spirit of freemasonry judaism and christianity 321 340 theism or deism the religion of astral observation 8 theories unpractised are whims 53 tithes six letters of blood 14 infitime is life 245 trinity defined 209 truth never wears out 2 that the best which con duces to the greatest happiness of the greatest num be,theism
65,"nstance,
if we are called upon to account for the origin of any
thing, we cannot do it, and all speculations are futile.
It is here that the theorist thinks himself strong; he
has a theory, plausible or not, and he calls upon you to
show him a better one, or to adopt his. Now, we may
not have fancy enough, in invention, to show him a
better one; but it does not follow that, because we
cannot, his must be correct. Where there is know-
ledge, there are no theories; and however amusing it
may be as pastime to make or receive theories, we
should not be positive of any value in them.
I have heard those who read the Bible according to
the letter, and not according to the spirit, call for a
better account of creation than that which is found in
the book of Genesis. Geology itself cannot give you
a better, because it cannot give you any; but it does
not follow, that a description of the existence of light
before the fountain of light is correct; and it is rather
too much to ask us to give credence to the manufacture
of a planet, or a system of planets, and to the placing
of them in the firmament in a few days; for geology
teaches us this, that the formation of a planet is the work
of millions of years. The surface may be explored and
examined far enough to convince us that it has not been
the work of a day; but that the different strata, or each
stratum, has been the temporal gathering of scores of
human generations, and was in action millions of years
before human beings were in act",1,0.9957042336463928,isis1832_njp-32101059455541-1746735414.txt,nstance if we are called upon to account for the origin of any thing we cannot do it and all speculations are futile it is here that the theorist thinks himself strong he has a theory plausible or not and he calls upon you to show him a better one or to adopt his now we may not have fancy enough in invention to show him a better one but it does not follow that because we cannot his must be correct where there is know ledge there are no theories and however amusing it may be as pastime to make or receive theories we should not be positive of any value in them i have heard those who read the bible according to the letter and not according to the spirit call for a better account of creation than that which is found in the book of genesis geology itself cannot give you a better because it cannot give you any but it does not follow that a description of the existence of light before the fountain of light is correct and it is rather too much to ask us to give credence to the manufacture of a planet or a system of planets and to the placing of them in the firmament in a few days for geology teaches us this that the formation of a planet is the work of millions of years the surface may be explored and examined far enough to convince us that it has not been the work of a day but that the different strata or each stratum has been the temporal gathering of scores of human generations and was in action millions of years before human beings were in act,natural history
72,"and allegories about God,
the stuff of which religion is made, reaches none of
our understandings, and acts but as a fever on highly
susceptible and disordered nerves. It is priestcraft,
and not meant for our welfare. It is ignorance, and
can ouly cheat us. It is bombast, and can only con-
fuse us by making a mockery of the simplicity of real
knowledge. Let us be rid of it; let priestcraft cease;
and let there be built the foundation of useful know-
ledge and progressive improvement. The earth is
the sum total of man's knowledge: all the rest is to
him but a panoramic picture. It is on the earth only
that he can make experiments; it is here only that he
can analyse, watch the progress of creation, and cal-
culate consequences that affect him. If he measure
the distance of planet from plavet, ascertain the precise
motions of each planet, calculate eclipses or the return
of comets, what is he the wiser? He who can culti-
vate the earth, spin a thread, or throw a shuttle, is
wiser than Newton, and a more useful member of
society.
The ancient astronomical priests were called theists,
which signified runners, because theism is a treatise on
the course of the stars, and indicates or leaves the fair
inference that their minds were running after some-
thing that was of no use to them. We may put into
this class all the theists or religious people of the pre-
sent day and though the word atheist gives so much
offence, a word which I do not adopt because of the
perversion of its meanin",1,0.9934605360031128,isis1832_njp-32101059455541-1746735414.txt,and allegories about god the stuff of which religion is made reaches none of our understandings and acts but as a fever on highly susceptible and disordered nerves it is priestcraft and not meant for our welfare it is ignorance and can ouly cheat us it is bombast and can only con fuse us by making a mockery of the simplicity of real knowledge let us be rid of it let priestcraft cease and let there be built the foundation of useful know ledge and progressive improvement the earth is the sum total of mans knowledge all the rest is to him but a panoramic picture it is on the earth only that he can make experiments it is here only that he can analyse watch the progress of creation and cal culate consequences that affect him if he measure the distance of planet from plavet ascertain the precise motions of each planet calculate eclipses or the return of comets what is he the wiser he who can culti vate the earth spin a thread or throw a shuttle is wiser than newton and a more useful member of society the ancient astronomical priests were called theists which signified runners because theism is a treatise on the course of the stars and indicates or leaves the fair inference that their minds were running after some thing that was of no use to them we may put into this class all the theists or religious people of the pre sent day and though the word atheist gives so much offence a word which i do not adopt because of the perversion of its meanin,skepticism
115,"g of a few.
more is thought and said about the word God, the more
is man degraded. Let us try the intrinsic value of the
word.
The next word we have to consider is soul, and we
may bring under consideration, at the same time, the
words spirit and mind, as synonymous with soul. There
is a supposition current among mankind, that the hu-
man being is a compound or double property, consist-
ing of matter and mind, body and soul, flesh and spirit.
Let us see if these words have any meaning. It is
supposed that the mind may exist without the matter,
the soul without the body, and the spirit without the
flesh. The analysis of meaning will show us, that
these words are not founded upon knowledge, but upon
ignorance.
God is a word composed of three letters, G-O-D.
Every word should be the sign of a thing, or the action
or quality of a thing. If it be not this, it is an idle,
useless word, and has no meaning. Has the word
God a meaning? Who can show it? I confess that I
cannot. If I use the word man, or the name of any
other animal, vegetable, or mineral, I have an object
before me that is the proper substance of which that
word is the sign, or the identical picture in human
language. If I use the word earth, I cannot mistake
its meaning; and though I can only see a part of the
whole, yet unerring calculations to a great extent may
be made about that whole, such as to its size, figure,
and motions. If I use the word moon, I see an object,
the picture of the word, or the substance of wh",1,0.9954491257667542,isis1832_njp-32101059455541-1746735414.txt,g of a few more is thought and said about the word god the more is man degraded let us try the intrinsic value of the word the next word we have to consider is soul and we may bring under consideration at the same time the words spirit and mind as synonymous with soul there is a supposition current among mankind that the hu man being is a compound or double property consist ing of matter and mind body and soul flesh and spirit let us see if these words have any meaning it is supposed that the mind may exist without the matter the soul without the body and the spirit without the flesh the analysis of meaning will show us that these words are not founded upon knowledge but upon ignorance god is a word composed of three letters god every word should be the sign of a thing or the action or quality of a thing if it be not this it is an idle useless word and has no meaning has the word god a meaning who can show it i confess that i cannot if i use the word man or the name of any other animal vegetable or mineral i have an object before me that is the proper substance of which that word is the sign or the identical picture in human language if i use the word earth i cannot mistake its meaning and though i can only see a part of the whole yet unerring calculations to a great extent may be made about that whole such as to its size figure and motions if i use the word moon i see an object the picture of the word or the substance of wh,philosophy
116,"ich the
word is the picture or intellectual sign. Even if I use
the word sun, though I can describe less of it than I
describe of the word moon, there is a substance,
powerful in its causes on surrounding substances, about
which, to a certain limit, we cannot be mistaken. If I
use the words solar system, I group together, in the
meaning of the words, a certain number of planets, cor-
responding in character with that which we inhabit,
and consider the sun as the central and controlling
power of their motions. If I speak of a star of the first
or second magnitude, I have still an object on which
the eye can dwell, and be assured that the word star is
a word of some meaning and reference, and is not an
idle word, or improperly used. But when I use the
word God, what do I mean? Or what does any other
person mean by the use of the word? Do we mean
something beyond the stars? Astronomy, with the
aid of the telescope, forbids the idea. Do we mean
any thing or power concealed in, or between, or among
the stars and planets? Chemistry forbids that idea.
Do we mean any thing visible on the face of the earth?
Geology forbids that idea. Do we mean the picture
of an old man, such as idiotic idolatry has painted?
Reason forbids that idea. Then what do we mean?
Try it in every way, and you will find that the word
God is a word utterly void of meaning, and every in-
stitution or idea founded upon it, is an injury to man-
kind. It is the word of ignorance, and not of know-
ledge of mystery an",1,0.9952510595321656,isis1832_njp-32101059455541-1746735414.txt,ich the word is the picture or intellectual sign even if i use the word sun though i can describe less of it than i describe of the word moon there is a substance powerful in its causes on surrounding substances about which to a certain limit we cannot be mistaken if i use the words solar system i group together in the meaning of the words a certain number of planets cor responding in character with that which we inhabit and consider the sun as the central and controlling power of their motions if i speak of a star of the first or second magnitude i have still an object on which the eye can dwell and be assured that the word star is a word of some meaning and reference and is not an idle word or improperly used but when i use the word god what do i mean or what does any other person mean by the use of the word do we mean something beyond the stars astronomy with the aid of the telescope forbids the idea do we mean any thing or power concealed in or between or among the stars and planets chemistry forbids that idea do we mean any thing visible on the face of the earth geology forbids that idea do we mean the picture of an old man such as idiotic idolatry has painted reason forbids that idea then what do we mean try it in every way and you will find that the word god is a word utterly void of meaning and every in stitution or idea founded upon it is an injury to man kind it is the word of ignorance and not of know ledge of mystery an,atheism
117,"d cheat, and not of revelation.
Yet such is the word that has maddened mankind, and
made them pursue pain rather than pleasure on earth.
The invention of one erroneous word has given rise to
I begin the enquiry with the position, for argument,
that the human body is but one specimen or identity
of animal life, and that it has no property, in relation
to the words mind, soul, and spirit, but such as is com-
mon, more or less, to every other animal. The human
being, like every other animal, consists of but one prin-
ciple. In its formation, it is animal life. In its disso-
lution, it is animal death. While living, it is constantly
in a state of formation. When dead, its dissolution
instantly commences, and is the work of more or less
time, according to the state of the substance and the
circumstances by which it is surrounded. That which
is called mind, soul, or spirit, is nothing more than the
action and formation of the animal body while in a
state of life. There is neither mind, soul, nor spirit,
the moment death takes place and dissolution com-
mences; nor were there any such properties in the
state of life, to be separated and to exist distinctly
from the animal substance.
It will probably be objected by the priesthood and
the education which it confers, that, in thus simply
stating the subject of mind, soul, spirit, to be nothing
more than the action of animal life and its formation,
we are striking at the root of morals, in removing the
doctrine of future rewards and pun",1,0.9955329298973083,isis1832_njp-32101059455541-1746735414.txt,d cheat and not of revelation yet such is the word that has maddened mankind and made them pursue pain rather than pleasure on earth the invention of one erroneous word has given rise to i begin the enquiry with the position for argument that the human body is but one specimen or identity of animal life and that it has no property in relation to the words mind soul and spirit but such as is com mon more or less to every other animal the human being like every other animal consists of but one prin ciple in its formation it is animal life in its disso lution it is animal death while living it is constantly in a state of formation when dead its dissolution instantly commences and is the work of more or less time according to the state of the substance and the circumstances by which it is surrounded that which is called mind soul or spirit is nothing more than the action and formation of the animal body while in a state of life there is neither mind soul nor spirit the moment death takes place and dissolution com mences nor were there any such properties in the state of life to be separated and to exist distinctly from the animal substance it will probably be objected by the priesthood and the education which it confers that in thus simply stating the subject of mind soul spirit to be nothing more than the action of animal life and its formation we are striking at the root of morals in removing the doctrine of future rewards and pun,biology
119,"lling, is
not that the action of the body? If he use the tongue
and palate for taste, is not that an action of the body?
If he use the finger or any other part of the body for
touch, is not that also the action of the body? And is
not that compound action of those senses the whole
principle which makes up mind, soul, or spirit?
Try it in every way in which it can be tried, and
you will find, that animal life and animal body, that the
mind, soul, spirit, and body, is but a unity of principle;
acting and forming an organization while it is life; dis-
solving that organization under its character of death.
And why should we fear to know this, if it be true?
Why, I ask again, should we fear it? If this be know-
ledge, is not the inference instant, that the proper busi-
theness of life is its happiness and pleasurable sensations;
and that life has no business to transact beyond itself,
and other than for its own preservation as an organic
structure? Let us reach this knowledge, and we shall
sever ourselves from the wicked machinations of the
priesthood; we shall lessen the claims which are made
upon the toils of life, remove its pains, and plant the
seeds of its future increased happiness.
cannot set the example of having some of the best, we
cannot stand up with a new doctrine.
If any thing that I may ever teach will not bear the
test of good morals, as well as of reason and truth, if
even expediency can be set up as invulnerable in argu-
ment against simple truth, I will yield t",1,0.9958354234695436,isis1832_njp-32101059455541-1746735414.txt,lling is not that the action of the body if he use the tongue and palate for taste is not that an action of the body if he use the finger or any other part of the body for touch is not that also the action of the body and is not that compound action of those senses the whole principle which makes up mind soul or spirit try it in every way in which it can be tried and you will find that animal life and animal body that the mind soul spirit and body is but a unity of principle acting and forming an organization while it is life dis solving that organization under its character of death and why should we fear to know this if it be true why i ask again should we fear it if this be know ledge is not the inference instant that the proper busi theness of life is its happiness and pleasurable sensations and that life has no business to transact beyond itself and other than for its own preservation as an organic structure let us reach this knowledge and we shall sever ourselves from the wicked machinations of the priesthood we shall lessen the claims which are made upon the toils of life remove its pains and plant the seeds of its future increased happiness cannot set the example of having some of the best we cannot stand up with a new doctrine if any thing that i may ever teach will not bear the test of good morals as well as of reason and truth if even expediency can be set up as invulnerable in argu ment against simple truth i will yield t,philosophy
