half_page_number,text,predicted_label,science_prob,source_file,clean_text,llm_topic
87,",
Spitalɓekis.
ROTUNDA, Blackfiiars-road. Public Meetings are held every
Sunday Evening at Seven, and every Monday and Wednesday
Evening at Eight o'clock. To public societies, the Theatres of the
Rotunda offer a convenient and cheap place for assembly.
POPULAR. WORKS..
PUBLISHED BY
G. Purkess, 61, Wardour-st., Soho ; and W'. Strange, Paternoster-re
1.
Price Sixpence, Second Edition of
TH
HE POCKET FRENCH MASTER :—being a New, Cor-
rect, Easy; and Comprehensive Grammar; in which the
difficu'ties and peculiarities of that language are well considered
and explained in a few ample words. To which are added, a few
Dialogues and Short Phrases, illustrative of the idioms and irregu-
larities of the French language; designed to assist such as wish to
obtain a moderate knowledge of that language in a short time, and
with little trouble.
2. A POPULAR INTRODUCTION TO ALGEBRA, for
the Use of Schools, Private Students, &c. By HENRY OTTLEY.
Price 18.
""One of the best books for beginners we have hitherto seen.”
New Tumes
""It exhibits this science in an attractive form.”—Imperial Mag.
3. ALGEBRAIC EXERCISES; being a set of New Problems
in Algebra, some of which are worked; with a few Practical Ob-
servations on Equations, &c. By HENRY OTTLEY. Price 1a.
“This little treatise is designed as a companion to Mr. Ouley's
former work, and well deserves the consideration of teachers,
well as learners.”—Atlas.
""The solutions to the questions are printed separately at the end,
and be withheld from the",1,0.7999659776687622,guardian_v1_1831-1832_coo-31924002673196-1746738494.txt,spitalekis rotunda blackfiiarsroad public meetings are held every sunday evening at seven and every monday and wednesday evening at eight oclock to public societies the theatres of the rotunda offer a convenient and cheap place for assembly popular works published by g purkess 61 wardourst soho and w strange paternosterre 1 price sixpence second edition of th he pocket french master being a new cor rect easy and comprehensive grammar in which the difficuties and peculiarities of that language are well considered and explained in a few ample words to which are added a few dialogues and short phrases illustrative of the idioms and irregu larities of the french language designed to assist such as wish to obtain a moderate knowledge of that language in a short time and with little trouble 2 a popular introduction to algebra for the use of schools private students c by henry ottley price 18 one of the best books for beginners we have hitherto seen new tumes it exhibits this science in an attractive formimperial mag 3 algebraic exercises being a set of new problems in algebra some of which are worked with a few practical ob servations on equations c by henry ottley price 1a this little treatise is designed as a companion to mr ouleys former work and well deserves the consideration of teachers well as learnersatlas the solutions to the questions are printed separately at the end and be withheld from the,education
130,"to have-but actually possessing-the means of
staying the progress of Reform-and exactly at a
point, too, where it does not the remotest good to
the working classes,-the only useful portion and
vast majority of the whole community:-that is, un-
less it is to be admitted that the ""middle men,"" the
little masters, will feel more disposed than the higher
aristocracy to better the condition of their inferiors
at their own expense-to elevate them by propor-
tionally levelling themselves;-think it not, friends
and brethren; you have been and are still intended
to be the common prey: ""noble"" eagles and eccle-
siastical vultures have hitherto been feeding upon
you; they think you veriest carrion, but, nevertheless,
have disdained not to fatten on you; verily, they
have satiated themselves; and now, too unweildy to
defend their exclusive spoil, they make way for the
hungry crows, whose numbers trouble them, to come
and also pick at you;-and, believe us, what was
mere food for the eagles and the vultures, will be a
dainty morsel for these dirty crows-"" carrion"" is
their delight, and they will pick it to the bone!-and
who are these cormorant crows, but your ""middle
men,"" who have been watching with greedy eyes the
""eagles"" of the state and vultures"" of the church,
devouring you-who have joined their cries with yours
for ""justice and mercy,"" till lords and priests have
allowed them to participate in the restless prey on
which they themselves have glutted, and of which
they are sickened au",1,0.7471591830253601,guardian_v1_1831-1832_coo-31924002673196-1746738494.txt,to havebut actually possessingthe means of staying the progress of reformand exactly at a point too where it does not the remotest good to the working classesthe only useful portion and vast majority of the whole communitythat is un less it is to be admitted that the middle men the little masters will feel more disposed than the higher aristocracy to better the condition of their inferiors at their own expenseto elevate them by propor tionally levelling themselvesthink it not friends and brethren you have been and are still intended to be the common prey noble eagles and eccle siastical vultures have hitherto been feeding upon you they think you veriest carrion but nevertheless have disdained not to fatten on you verily they have satiated themselves and now too unweildy to defend their exclusive spoil they make way for the hungry crows whose numbers trouble them to come and also pick at youand believe us what was mere food for the eagles and the vultures will be a dainty morsel for these dirty crows carrion is their delight and they will pick it to the boneand who are these cormorant crows but your middle men who have been watching with greedy eyes the eagles of the state and vultures of the church devouring youwho have joined their cries with yours for justice and mercy till lords and priests have allowed them to participate in the restless prey on which they themselves have glutted and of which they are sickened au,class conflict
254,"at purpose-by the
and inevitable effect? and is it not clear to reason severest penalties of the ""law""-the actual cause of
that it is both kind and wise to do so? ""Preven- them is nourished and protected! Now, what is the
tion's better than cure,"" says the proverb!-if we one great CAUSE of all these evils?-have we not
content ourselves with merely curing a bad effect, so
often declared it, but can it be declared too often?
long as we allow the cause to remain, we do not pre-
""PROPERTY!""-Yes ""Property""-the means of pos-
rent a repetition of the evil, and thus are useless pain Sessing wealth and possessing it not together cause
and unnecessary trouble perpetuated,-nay, indeed, the crimes and evils which make this earth the bitter
increased, for causes are contagious; to simply, pluck hell it is,-which render necessary-prisons and hos-
the leaves from the tree which intercepts the light,pitals, and armies and judges, and physicians and
is only to provide a yearly repetition of the same churches, and ""LAWS!""-Why groans that sufferer
office and offence,-better to cut off the branch which in yonder bed?"" Poor soul!"" his limbs are fractured:
bears the leaves, or cut down the whole tree itself by a fall from "" Lord ""
's lofty mansion 1""am
which bears the branch; to simply allay the symptoms
What is the disease of this"" living ghost?
""Com-
of a disease is but to ensure a continuation of suffering, sumption; he is a water gilder-and water gilders
and to render necessary the constant at",1,0.980047047138214,guardian_v1_1831-1832_coo-31924002673196-1746738494.txt,at purposeby the and inevitable effect and is it not clear to reason severest penalties of the lawthe actual cause of that it is both kind and wise to do so preven them is nourished and protected now what is the tions better than cure says the proverbif we one great cause of all these evilshave we not content ourselves with merely curing a bad effect so often declared it but can it be declared too often long as we allow the cause to remain we do not pre propertyyes propertythe means of pos rent a repetition of the evil and thus are useless pain sessing wealth and possessing it not together cause and unnecessary trouble perpetuatednay indeed the crimes and evils which make this earth the bitter increased for causes are contagious to simply pluck hell it iswhich render necessaryprisons and hos the leaves from the tree which intercepts the lightpitals and armies and judges and physicians and is only to provide a yearly repetition of the same churches and lawswhy groans that sufferer office and offencebetter to cut off the branch which in yonder bed poor soul his limbs are fractured bears the leaves or cut down the whole tree itself by a fall from lord s lofty mansion 1am which bears the branch to simply allay the symptoms what is the disease of this living ghost com of a disease is but to ensure a continuation of suffering sumption he is a water gilderand water gilders and to render necessary the constant at,medicine
258," deal
with the cause rather than the effect; it is a simple
thing to do, it will be said; but yet, for thousands of
years has such simplicity been neglected, and the
consequence is, that, the causes never having been
prevented, the present age is the victim of numberless
evil effects which all the energies of man are insuffi-
cieat to counteract; Hercules had never killed the
bydra unless, as he cut off one of its hundred beads,
he had the destroyed the cause of regeneration and
prevented its growing again: nor can we combat
the evil effects which oppress us, unless, as we cut
them off one by one, we prevent their repetition by
destroying their “cause.""
""
It may be urged that surely we must be mistaken,
for could all the wisdom of ages foregone have failed
to discover so simple a means of blessing_mankind :
but, even if there were no direct "" cause"" for such
failure, yet, let it be recollected that almost all won-
deful discoveries have been made when least ex-
pected, or when abandoned as hopeless,-and that,
in many instances, where the greatest ingenuity and
labour have long been employed in vain, the simplest
measures or the merest accident may have completely
prevailed; but does it require much calculation to
find out that the Physician is not the man most inte-
rested to wish the cause of all disease destroyed?-
does not his trade-does not his ""property"" depend
upon the effects?—and is uot
upon the effects?-and is uot ""property"" again the
cause? as with the Physician so ",1,0.9931381940841676,guardian_v1_1831-1832_coo-31924002673196-1746738494.txt,deal with the cause rather than the effect it is a simple thing to do it will be said but yet for thousands of years has such simplicity been neglected and the consequence is that the causes never having been prevented the present age is the victim of numberless evil effects which all the energies of man are insuffi cieat to counteract hercules had never killed the bydra unless as he cut off one of its hundred beads he had the destroyed the cause of regeneration and prevented its growing again nor can we combat the evil effects which oppress us unless as we cut them off one by one we prevent their repetition by destroying their cause it may be urged that surely we must be mistaken for could all the wisdom of ages foregone have failed to discover so simple a means of blessingmankind but even if there were no direct cause for such failure yet let it be recollected that almost all won deful discoveries have been made when least ex pected or when abandoned as hopelessand that in many instances where the greatest ingenuity and labour have long been employed in vain the simplest measures or the merest accident may have completely prevailed but does it require much calculation to find out that the physician is not the man most inte rested to wish the cause of all disease destroyed does not his tradedoes not his property depend upon the effectsand is uot upon the effectsand is uot property again the cause as with the physician so,medicine
271," of spiders that run about the sides of brick walls
in hot summer weather, for the purpose of searching for prey.
They are of a grey colour, have flat bodies, and short legs. There
is nothing particularly striking in their appearance, except that they
have long scraggy necks, and extraordinary large heads, very much
resembling that of a counsellor, when he gets on his lop-ear'd wig.
They have six eyes; two in front, two on the crown, and two on
the back part of their heads, so that they can see in all directions
at one and the same time. They have no regular web, but straggle
about from place to place. They spin a single thread, which they
their
fasten to the wall in an instant, or spring upon prey,
Burke of Edinburgh, or the boy Bell of Roceester. They are ex-
ceedingly ferocious, but very cowardly when they meet with any
thing of equal magnitude to themselves; consequently they never
attack any other than small insects, midges, or other small fies,
which they crush in an instant, and then convey them into the
aearest cavern and then devour them. The larger flies would fy
away
with them, thread and all. Thus far concerning this species
of spider.
like
I perceive, through the medium of your pamphlet, since my last
communication, that another attempt has been made to drag you
into the robber's hole in Bow Street. I perceive that the same old
man appeared against you as principal agent to the banditti who
appeared against you before. This old man very much resembles
one of thos",1,0.9936271905899048,guardian_v1_1831-1832_coo-31924002673196-1746738494.txt,of spiders that run about the sides of brick walls in hot summer weather for the purpose of searching for prey they are of a grey colour have flat bodies and short legs there is nothing particularly striking in their appearance except that they have long scraggy necks and extraordinary large heads very much resembling that of a counsellor when he gets on his lopeard wig they have six eyes two in front two on the crown and two on the back part of their heads so that they can see in all directions at one and the same time they have no regular web but straggle about from place to place they spin a single thread which they their fasten to the wall in an instant or spring upon prey burke of edinburgh or the boy bell of roceester they are ex ceedingly ferocious but very cowardly when they meet with any thing of equal magnitude to themselves consequently they never attack any other than small insects midges or other small fies which they crush in an instant and then convey them into the aearest cavern and then devour them the larger flies would fy away with them thread and all thus far concerning this species of spider like i perceive through the medium of your pamphlet since my last communication that another attempt has been made to drag you into the robbers hole in bow street i perceive that the same old man appeared against you as principal agent to the banditti who appeared against you before this old man very much resembles one of thos,taxonomy
272,"e spiders which I have just described. He has no regular
web, but straggles about from place to place in search of whom he
devour. Like that reptile, he never attacks any other than
little inoffensive crestures, like you, whom he drags into the nearest
may
I


## p. 53 (#63) ##############################################

53

Avern or hole. I never saw one of those spiders which I have
described, in the inside of a house. But this old man, after saying
that he understands you are down into the country to get out of his
way, declares that that shall not avail you; inasmuch as he will
be after you, and that if he cannot jump upon you outside, he will
be into your premises!!! What a monster!
The great Bow Street spider declared at the same time, that it
was necessary you should be robbed of fourpeace for every penny
paper, as a protection to the swell-mongers' journals, or the great
press-gang. What a pretty game is this; is it not? What would
you think of a highwayman, who, after robbing all other traveliers,
were to tell you that it is necessary to rob you, as a protection to those
whom he had plundered before? I understand that this great vermia
has entangled three poor men in his web, and that he has got them
in his hole now,-that he is grappling with them,—and that the like
atrocities are being committed by the spiders in the robber's hole in
Union Street in the Borough! These vermin are dreadfully alarmed
at the very sight of a feather. Apply your feather, then, my dear
G",1,0.973057746887207,guardian_v1_1831-1832_coo-31924002673196-1746738494.txt,e spiders which i have just described he has no regular web but straggles about from place to place in search of whom he devour like that reptile he never attacks any other than little inoffensive crestures like you whom he drags into the nearest may i p 53 63 53 avern or hole i never saw one of those spiders which i have described in the inside of a house but this old man after saying that he understands you are down into the country to get out of his way declares that that shall not avail you inasmuch as he will be after you and that if he cannot jump upon you outside he will be into your premises what a monster the great bow street spider declared at the same time that it was necessary you should be robbed of fourpeace for every penny paper as a protection to the swellmongers journals or the great pressgang what a pretty game is this is it not what would you think of a highwayman who after robbing all other traveliers were to tell you that it is necessary to rob you as a protection to those whom he had plundered before i understand that this great vermia has entangled three poor men in his web and that he has got them in his hole nowthat he is grappling with themand that the like atrocities are being committed by the spiders in the robbers hole in union street in the borough these vermin are dreadfully alarmed at the very sight of a feather apply your feather then my dear g,biology
278,"e from another state of existence to uphold
they have steeped their orders, or as they call them, their l
blood respecting it, and they have fenced it in with death,
the borrers that can aflict the human frame. And why
they knew it was founded on such unnatural, such untenable


## p. 54 (#64) ##############################################

54
ciples, that if left to itself for a moment, it must fall like a pyramid
placed on its point instead of its base.
The chief evils of individual property are, That it creates tyranny
by creating unequal power, for unfortunately, it is as true that pro-
perty is power as that knowledge is. That by creating inequality,
it also creates envy against it, and ferocity in the protection of it-
it divides, instead of unites-and makes one set of men the inevi-
table enemies of another. Wherever there is property, there can-
no: be impartiality—when a man is interested, how can we expect
him to be just.
Of all kinds of individual appropration, that of natural things is
the most unjust-it is so obvious, that all the elements are neces-
sary for Man's existence, that it cannot be for a moment denied,
each has an equal right to them—the soil, thereof, and all it con-
tains, must be the property of all-this is a self-evident right.
That the product of labour is not an inherent right, may require a
If it is a na-
little (and but little) examination to be convinced of.
tural right, it is one which we surrender for a greater, that of living
in safety. W",1,0.9893892407417296,guardian_v1_1831-1832_coo-31924002673196-1746738494.txt,e from another state of existence to uphold they have steeped their orders or as they call them their l blood respecting it and they have fenced it in with death the borrers that can aflict the human frame and why they knew it was founded on such unnatural such untenable p 54 64 54 ciples that if left to itself for a moment it must fall like a pyramid placed on its point instead of its base the chief evils of individual property are that it creates tyranny by creating unequal power for unfortunately it is as true that pro perty is power as that knowledge is that by creating inequality it also creates envy against it and ferocity in the protection of it it divides instead of unitesand makes one set of men the inevi table enemies of another wherever there is property there can no be impartialitywhen a man is interested how can we expect him to be just of all kinds of individual appropration that of natural things is the most unjustit is so obvious that all the elements are neces sary for mans existence that it cannot be for a moment denied each has an equal right to themthe soil thereof and all it con tains must be the property of allthis is a selfevident right that the product of labour is not an inherent right may require a if it is a na little and but little examination to be convinced of tural right it is one which we surrender for a greater that of living in safety w,natural history
310,"its intrinsic
merit as a poem, and, secondly, for the spirit in which it is com
posed, and for its aiming at the highest end to which the Muse
can be devoted, the amelioration of the condition of mankind, by
means of the improvement of society. How superior is such an ob-
ject to that which is sought to be accomplished by the generality of
potis, whose most common aim is to please the ear and the fancy,
or to excite the least noble, and sɔmetimes even the worst of
64
66
We do not think that the argument is sufficiently convincing
that the poem is not written by a mcchanic, because it displays
a little study, or reading which we suppose the editor means to
say :-ail"" mechanics"" are not such slaves that they cannot read,
especially with the aid of our coffee shops, institutions where
will be found most of the books-the useful books, the know-
ledge of which has made our author appear so superwr;-per-
haps our ""karned"" critic may, as is very natural, think more of
the author's"" study,"" because it was new and strange to himself
-thanks to his “ classicul” and “ literary” “ education !”—and
we can admit it a very painful task for a literary reviewer""
mechanic” credit for greater learning than
to give a poor
himself; mechanics, he should know, waste not their time in
the imperfect acquirement of useless languages, and one
month's study and reading of good useful works is capable of
“enricking the stores of their minds” with a greater “ kiunoledge
of books and facts” than nine out o",1,0.961445689201355,guardian_v1_1831-1832_coo-31924002673196-1746738494.txt,its intrinsic merit as a poem and secondly for the spirit in which it is com posed and for its aiming at the highest end to which the muse can be devoted the amelioration of the condition of mankind by means of the improvement of society how superior is such an ob ject to that which is sought to be accomplished by the generality of potis whose most common aim is to please the ear and the fancy or to excite the least noble and smetimes even the worst of 64 66 we do not think that the argument is sufficiently convincing that the poem is not written by a mcchanic because it displays a little study or reading which we suppose the editor means to say ail mechanics are not such slaves that they cannot read especially with the aid of our coffee shops institutions where will be found most of the booksthe useful books the know ledge of which has made our author appear so superwrper haps our karned critic may as is very natural think more of the authors study because it was new and strange to himself thanks to his classicul and literary education and we can admit it a very painful task for a literary reviewer mechanic credit for greater learning than to give a poor himself mechanics he should know waste not their time in the imperfect acquirement of useless languages and one months study and reading of good useful works is capable of enricking the stores of their minds with a greater kiunoledge of books and facts than nine out o,education
346,"ou and do likewise.""
44
Our course of duty lays straight before us; let us, one and all,
unite in aiding the glorious cause of liberty, and truth and justice
must prevail.
Reformers and honest men rally round the standard of justice,
and support your unflinching advocate, and the day, we trust, is not
far distant, when ""all empty ranks will be abolished-and King,
Slave, and Lord, enobled into Man.""
I am, your constant friend and admirer,
August 31, 1831.
H. B.
MR. HETHERINGTON'S PROGRESS
THROUGH THE COUNTRY.
Mr. Hetherington is about to return to his post
in Kingsgate
Street, more determined than ever in his resolution to never
submit to the opp:essive and cruel ""laws"" of a self-elected
tyranny.
ADDRESS TO II. HETHERINGTON, LONDON.
Sir,
We the working, consequently the useful classes of Blackburn,
in the county of Lancaster, in public meeting assembled, beg leave
to offer you our grateful thanks for the noble, courageous, and
patriotic stand which you have made for the REAL Freedom of the
Press, at a time when a base, cruel, and malignant faction are
exerting all their usurped authority, by brute force, to destroy it.
But we hope and trust that their villainous and tyrannical efforts to
stifle the free expression of public opinion, and to rob the poor man
of the best means of obtaining useful and correct knowledge of poli-
tical science, will, by your unconquerable and unflinching persever-
ance and resistance, aided and assisted by the people, be completely
overthrown and de",1,0.5576295256614685,guardian_v1_1831-1832_coo-31924002673196-1746738494.txt,ou and do likewise 44 our course of duty lays straight before us let us one and all unite in aiding the glorious cause of liberty and truth and justice must prevail reformers and honest men rally round the standard of justice and support your unflinching advocate and the day we trust is not far distant when all empty ranks will be abolishedand king slave and lord enobled into man i am your constant friend and admirer august 31 1831 h b mr hetheringtons progress through the country mr hetherington is about to return to his post in kingsgate street more determined than ever in his resolution to never submit to the oppessive and cruel laws of a selfelected tyranny address to ii hetherington london sir we the working consequently the useful classes of blackburn in the county of lancaster in public meeting assembled beg leave to offer you our grateful thanks for the noble courageous and patriotic stand which you have made for the real freedom of the press at a time when a base cruel and malignant faction are exerting all their usurped authority by brute force to destroy it but we hope and trust that their villainous and tyrannical efforts to stifle the free expression of public opinion and to rob the poor man of the best means of obtaining useful and correct knowledge of poli tical science will by your unconquerable and unflinching persever ance and resistance aided and assisted by the people be completely overthrown and de,natural history
352,"tee report that the ejected
tenantry suffered affliction which it was not in the power of language
to describe. But this was called a state of transition. Call it pes-
tilence, famine, death, and men would tremble; but call it transi-
tion, envelope it in a technical vocabular of fiscal science, and
directory of economists will speak of it with the tranquility with
which a French philosopher would have expatiated on the process
sanguinary celerity of the guillotine. (Hear, hear.) But it was
of regeneration, which his country was undergoing through the
only justice to add, that at last men's eyes and hearts are opened.
It was admitted that something must be done to alleviate these
dreadful sufferings. science had relented, political economy had
been touched, algebra was giving way to pity, and theorists and
speculators were no longer heard, amidst the cries of a nation that
stretches forth her bands for food. (Cheers.)
HUNT presented a petition from one of the ""victims of
tyranny; he also presented one from the Westminster Puli-
tical Union, for Annual Parliaments, Universal Suffrage, and
Vote by Ballot, and praying for no"" property qualifications;""
he said that the public opinion was entirely changed with
regard to the Reform Bill; the people had had time to reflect
upon it, and the consequence was dissatisfaction; and, to
prove that such was the case, be advised public meetins to be
called. Hume complained of Hunt's inconsistence between
his speeches and his actions, and ask",1,0.6459459662437439,guardian_v1_1831-1832_coo-31924002673196-1746738494.txt,tee report that the ejected tenantry suffered affliction which it was not in the power of language to describe but this was called a state of transition call it pes tilence famine death and men would tremble but call it transi tion envelope it in a technical vocabular of fiscal science and directory of economists will speak of it with the tranquility with which a french philosopher would have expatiated on the process sanguinary celerity of the guillotine hear hear but it was of regeneration which his country was undergoing through the only justice to add that at last mens eyes and hearts are opened it was admitted that something must be done to alleviate these dreadful sufferings science had relented political economy had been touched algebra was giving way to pity and theorists and speculators were no longer heard amidst the cries of a nation that stretches forth her bands for food cheers hunt presented a petition from one of the victims of tyranny he also presented one from the westminster puli tical union for annual parliaments universal suffrage and vote by ballot and praying for no property qualifications he said that the public opinion was entirely changed with regard to the reform bill the people had had time to reflect upon it and the consequence was dissatisfaction and to prove that such was the case be advised public meetins to be called hume complained of hunts inconsistence between his speeches and his actions and ask,politics
