half_page_number,text,predicted_label,science_prob,source_file,clean_text,llm_topic
56,"oposition. In July, 1846, when we wrote our first
article upon this subject, in the opening number of
Douglas Jerrold's Weekly Newspaper, the Early Closing
movement, as a question, was almost synonymous with
one branch of retail trade and one body of intelligent
men. It has now become an open question, in so many de-
partments and subdivisions of the great mass of effective
labour, and proves, by this process of its own develop-
ment, two points of large importance; namely, that
like all questions bearing relation to the Science of
Society, it is a simple correlative of a profounder and
more comprehensive truth, and therefore carrying for-
ward with it other and equally important questions to
general well being; and, next, that healthy popular intel-
ligence is in no stationary condition.
To us, a thoroughly efficient and wide-spread education
""Father, let these thy flowers teach a true lesson to of the great middle classes of this country appears a
thy creatures. The purple sheds its hue upon the golden, matter so desirable, as to make whatever will promote it,
the golden on the white, and each is richer for the beauty even in a far less degree than what this time-question
of its neighbour. The odour which in singleness would will, worthy that sort of advocacy which it is right to
be faint, fills, through borrowing and lending sweetness, give to the largest questions of national salvation. For
this chamber with the richest fragrance. Further, from where certain results can b",1,0.9946866035461426,elizacook_1849_mdp-39015074629984-1746736509.txt,oposition in july 1846 when we wrote our first article upon this subject in the opening number of douglas jerrolds weekly newspaper the early closing movement as a question was almost synonymous with one branch of retail trade and one body of intelligent men it has now become an open question in so many de partments and subdivisions of the great mass of effective labour and proves by this process of its own develop ment two points of large importance namely that like all questions bearing relation to the science of society it is a simple correlative of a profounder and more comprehensive truth and therefore carrying for ward with it other and equally important questions to general well being and next that healthy popular intel ligence is in no stationary condition to us a thoroughly efficient and widespread education father let these thy flowers teach a true lesson to of the great middle classes of this country appears a thy creatures the purple sheds its hue upon the golden matter so desirable as to make whatever will promote it the golden on the white and each is richer for the beauty even in a far less degree than what this timequestion of its neighbour the odour which in singleness would will worthy that sort of advocacy which it is right to be faint fills through borrowing and lending sweetness give to the largest questions of national salvation for this chamber with the richest fragrance further from where certain results can b,class conflict
69," of intelligence, and
the lower sections of skilled labour.
Friends to Early Closing, Employers and Employed.-To
promote in every practicable way your noble cause, is one
of the earnest purposes of this Journal, both through
advocacy of principles, and by a class of literature
worthy your intelligence. For our own part, gaining our
cherished nom de plume in your cause, and at the
hands of our noble and most valued friend, Mr.
Douglas Jerrold, it seemed a duty and a right, in our-
selves, to again dedicate a portion of the first number of
a new journal to your service. The pages of this Journal
will be, we believe, no unpopular channel for setting into
motion such abstract principles, as based upon scientific
truth, lead not indirectly to the development of these
highest truths themselves; truths which will lead us to a
newer and to a nobler knowledge of ourselves and nature,
and to a higher reverence for the beneficence of God.
SILVERPEN.
""MAKE THE BEST OF IT.""
""MAN is born to trouble,"" most unquestionably. It is
a fact continually and physically expressed, from the first
shrill cry in our swaddling clothes, to the last breath
heaved at the gate of eternity.
Setting this down as a leading and unalterable clause
in Mortality's Act of Parliament, it seems but wise to
Who has entered an omnibus as the thirteenth pas-
senger, and not found himself the ""despised and rejected
of all?""-treading on toes that pertinaceously refuse to
accede an inch of thoroughfare-falling on shoulders",1,0.9935482144355774,elizacook_1849_mdp-39015074629984-1746736509.txt,of intelligence and the lower sections of skilled labour friends to early closing employers and employedto promote in every practicable way your noble cause is one of the earnest purposes of this journal both through advocacy of principles and by a class of literature worthy your intelligence for our own part gaining our cherished nom de plume in your cause and at the hands of our noble and most valued friend mr douglas jerrold it seemed a duty and a right in our selves to again dedicate a portion of the first number of a new journal to your service the pages of this journal will be we believe no unpopular channel for setting into motion such abstract principles as based upon scientific truth lead not indirectly to the development of these highest truths themselves truths which will lead us to a newer and to a nobler knowledge of ourselves and nature and to a higher reverence for the beneficence of god silverpen make the best of it man is born to trouble most unquestionably it is a fact continually and physically expressed from the first shrill cry in our swaddling clothes to the last breath heaved at the gate of eternity setting this down as a leading and unalterable clause in mortalitys act of parliament it seems but wise to who has entered an omnibus as the thirteenth pas senger and not found himself the despised and rejected of alltreading on toes that pertinaceously refuse to accede an inch of thoroughfarefalling on shoulders,medicine
83,"at those
who do so will hearken to what I am going to say, for I
must tell you what I think of a little child.
A little child is a little bud not yet opened; and, as in
a little bud lies folded up all the blossoms of a full blown
rose, so within the mind of a little child lies enclosed
that beauty which will grow and expand until it bursts
into all loveliness and grace.
But you know that there must be a power to draw this
blossom forth. A rose-tree would not grow, nor would
the bud open, unless they were watered by the rain and
cheered by the sunshine; neither would the mind of a
little child come into blossom without something to draw
it forth. That something is education. The word educa-
tion means to draw forth the faculties, and the real
educator will be the rain and the sunshine, the light and
the warmth, to a little child's mind.
You know, my dear children, that the rose, after it has
blossomed, dies; its leaves decay, and, however beautiful
its blossom may be, it perishes; but behind all is the
seed, and within the seed is the germ of another being
the principle of another life. So it is with a little child;
it will grow; it will become a man or woman; it will
blossom; it will fade; it will fall; but then shall arise the
germ of its future being-to live for ever.
But have you not sometimes seen a little worm cating
the rose bud away, and thus destroying it before it had
time to blossom? Just as that worm would destroy the
bud, so does sin destroy the human soul.
time t",1,0.9930351972579956,elizacook_1849_mdp-39015074629984-1746736509.txt,at those who do so will hearken to what i am going to say for i must tell you what i think of a little child a little child is a little bud not yet opened and as in a little bud lies folded up all the blossoms of a full blown rose so within the mind of a little child lies enclosed that beauty which will grow and expand until it bursts into all loveliness and grace but you know that there must be a power to draw this blossom forth a rosetree would not grow nor would the bud open unless they were watered by the rain and cheered by the sunshine neither would the mind of a little child come into blossom without something to draw it forth that something is education the word educa tion means to draw forth the faculties and the real educator will be the rain and the sunshine the light and the warmth to a little childs mind you know my dear children that the rose after it has blossomed dies its leaves decay and however beautiful its blossom may be it perishes but behind all is the seed and within the seed is the germ of another being the principle of another life so it is with a little child it will grow it will become a man or woman it will blossom it will fade it will fall but then shall arise the germ of its future beingto live for ever but have you not sometimes seen a little worm cating the rose bud away and thus destroying it before it had time to blossom just as that worm would destroy the bud so does sin destroy the human soul time t,education
84,"o time say something of animals, plants, and
minerals, and of the laws by which they are governed
and sustained by their good Creator; and I shall not for-
get the great men who have lived in ages long ago; of
their heroic deeds, of their noble virtues, and of what
they have thought, said, and done. I shall not, at the
same time, forget to tell my young friends some interest-
ing stories, and show them how children can sometimes
be heroes as well as men-how they think, feel, and act.
I shall not forget to show them their faults, and their
follies, and even their vices, in a glass of my own making;
but, at the same time, I shall be equally anxious to reveal
their virtues, to laud their good deeds, and to engrave, as
upon a tablet of brass, their filial affection, their fraternal
love, their sincerity, their disinterestedness, their devotion,
their truth, and their goodness.
But I do not know that I shall have all my talk to the
children; I hope sometimes to have a few words with
fathers and mothers, and to tell them a story. To them
are entrusted the destinies of the rising generation-to
them future ages look with anxiety. Can it be wrong
to say, that they sometimes require teaching as well as
their children. All love their offspring; but, alas, the
love that many feel is a mere animal fondness, and not a
thinking love. Peter Parley, indeed, loves little children,
but he does not like pert, vain, impudent, idle, trouble-
some, forward, fantastical children, which are generally",1,0.9943350553512572,elizacook_1849_mdp-39015074629984-1746736509.txt,o time say something of animals plants and minerals and of the laws by which they are governed and sustained by their good creator and i shall not for get the great men who have lived in ages long ago of their heroic deeds of their noble virtues and of what they have thought said and done i shall not at the same time forget to tell my young friends some interest ing stories and show them how children can sometimes be heroes as well as menhow they think feel and act i shall not forget to show them their faults and their follies and even their vices in a glass of my own making but at the same time i shall be equally anxious to reveal their virtues to laud their good deeds and to engrave as upon a tablet of brass their filial affection their fraternal love their sincerity their disinterestedness their devotion their truth and their goodness but i do not know that i shall have all my talk to the children i hope sometimes to have a few words with fathers and mothers and to tell them a story to them are entrusted the destinies of the rising generationto them future ages look with anxiety can it be wrong to say that they sometimes require teaching as well as their children all love their offspring but alas the love that many feel is a mere animal fondness and not a thinking love peter parley indeed loves little children but he does not like pert vain impudent idle trouble some forward fantastical children which are generally,family
85,"
made so by indulgence and bad management alone. He
will, therefore, make it his business occasionally to have
a word with parents as well as their children, in the hope
of such being equally acceptable with the other writings of
PETER PARLEY.
BEING HAPPY.
There are two ways of being happy. We may either
diminish our wants, or augment our means, either will do,
the result is the same; and it is for each man to decide
for himself, and do that which may happen to be the
easiest. If you are idle, or sick, or poor, however hard
it may be to diminish your wants, it will be easier than
to augment your means. If you are active and prosperous,
or young or in good health, it may be easier for you to
augment your means, than to diminish your wants.
if you are wise, you will do both at the same time,
young or old, sick or well, rich or poor, and if you are
very wise, you will do both in such a way as to augment
the general happiness of society.
But
A CHILD is a man in a small letter, yet the best copy
of Adam; and he is happy, whose small practice in the
world can only write his character. He is Nature's fresh
Did you ever see a rose-bush which had been neglected picture newly drawn in oil, which time and much hand-
by the gardener, with its rude and crooked shoots entan-ling dims and defaces. His soul is yet a white paper,
gled and massed with weeds, and choaked by briars, unscribbled with observations of the world, wherewith at
nettles, and thorns? Such is the state of a little child ",1,0.9928950667381288,elizacook_1849_mdp-39015074629984-1746736509.txt,made so by indulgence and bad management alone he will therefore make it his business occasionally to have a word with parents as well as their children in the hope of such being equally acceptable with the other writings of peter parley being happy there are two ways of being happy we may either diminish our wants or augment our means either will do the result is the same and it is for each man to decide for himself and do that which may happen to be the easiest if you are idle or sick or poor however hard it may be to diminish your wants it will be easier than to augment your means if you are active and prosperous or young or in good health it may be easier for you to augment your means than to diminish your wants if you are wise you will do both at the same time young or old sick or well rich or poor and if you are very wise you will do both in such a way as to augment the general happiness of society but a child is a man in a small letter yet the best copy of adam and he is happy whose small practice in the world can only write his character he is natures fresh did you ever see a rosebush which had been neglected picture newly drawn in oil which time and much hand by the gardener with its rude and crooked shoots entanling dims and defaces his soul is yet a white paper gled and massed with weeds and choaked by briars unscribbled with observations of the world wherewith at nettles and thorns such is the state of a little child,natural history
93,"e ample than it is in old and over-crowded
countries.
As with Bees, so with men. The young, the enter-
prising, the adventurous, go forth on their new career,
leaving to the old members of the hive the enjoyment of
their comfortable nest. The world is wide-the fairest
regions of the earth are yet unpeopled-millions of square
miles of fertile soil, rich with the decayed vegetation of
ages, have not yet been trodden by the foot of man.
These are the grand fields for the venturous enterprise of
youth, whereon the destinies of future ages are to be
unfolded; where, untrammelled by the barbarisms of
the Old World, and free from those vices of class and caste
which still cling to all the venerated institutions of
Europe, the human race is destined to work out the great
problems of civilization, social happiness, and civil and
religious liberty.
Colonization is now the great subjugator of the earth,
and the British people are the leaders of this move-
ment. The Saxon race is plantings feet firmly in
every quarter of the globe. In the United States of
America, a mighty empire has been founded, already
equal in enterprize, intelligence, wealth, and power, to any
in the world. Another great empire in the Southern
Ocean looms before us-the germs of which are already
widely planted in the flourishing colonies of Australia. At
the southern point of Africa, also, on a fertile soil, and
under a beautiful sky, thriving colonies are now settling;
and in Hindostan, Sumatra, Borneo, and China, ",1,0.9934256076812744,elizacook_1849_mdp-39015074629984-1746736509.txt,e ample than it is in old and overcrowded countries as with bees so with men the young the enter prising the adventurous go forth on their new career leaving to the old members of the hive the enjoyment of their comfortable nest the world is widethe fairest regions of the earth are yet unpeopledmillions of square miles of fertile soil rich with the decayed vegetation of ages have not yet been trodden by the foot of man these are the grand fields for the venturous enterprise of youth whereon the destinies of future ages are to be unfolded where untrammelled by the barbarisms of the old world and free from those vices of class and caste which still cling to all the venerated institutions of europe the human race is destined to work out the great problems of civilization social happiness and civil and religious liberty colonization is now the great subjugator of the earth and the british people are the leaders of this move ment the saxon race is plantings feet firmly in every quarter of the globe in the united states of america a mighty empire has been founded already equal in enterprize intelligence wealth and power to any in the world another great empire in the southern ocean looms before usthe germs of which are already widely planted in the flourishing colonies of australia at the southern point of africa also on a fertile soil and under a beautiful sky thriving colonies are now settling and in hindostan sumatra borneo and china,colonization
140,"ntellectual to the control of the moral; the principle of life to the extremities of the arteries,
when he acknowledges that the guide and sovereign so will such men, from a common centre, dissemi-
of life is virtue, and the great glory of the soul is reli- nate truth and justice, religion and piety, through the
gion.
deepest ramification of our social system, to the per-
petuity of our noblest institutions, and to their propa-
gation through every country of the world.
Pen and Enk Portraits.
THE OLD TRADESMAN.
In this manner it is that an aggregation of men, given
up to animal life, is a herd but one degree removed from
the brute nature. When the physical and intellectual
powers are combined, and numbers join themselves toge-
ther for mutual protection against hunger, cold, and
foreign aggression, it is a tribe or clan; but when men
unite together, physically, intellectually, and morally, for
the development of the eternal germs of truth, and jus- IT is a trite aphorism, that ""ancient prejudices must
tice, and love, in wise laws and humane institutions, it is give way to modern improvements.” Never did. the
then, and only then, that they deserve the name of a ever-revolving wheel of human events touch upon an
NATION. A nation exists not in her capabilities of pro-age so demonstrative of this fact, as the one in which we
viding for, or sustaining her physical greatness, but in
her intellectual brightness-her moral strength-her
religious glory.
live, or in which the besom of p",1,0.9932130575180054,elizacook_1849_mdp-39015074629984-1746736509.txt,ntellectual to the control of the moral the principle of life to the extremities of the arteries when he acknowledges that the guide and sovereign so will such men from a common centre dissemi of life is virtue and the great glory of the soul is reli nate truth and justice religion and piety through the gion deepest ramification of our social system to the per petuity of our noblest institutions and to their propa gation through every country of the world pen and enk portraits the old tradesman in this manner it is that an aggregation of men given up to animal life is a herd but one degree removed from the brute nature when the physical and intellectual powers are combined and numbers join themselves toge ther for mutual protection against hunger cold and foreign aggression it is a tribe or clan but when men unite together physically intellectually and morally for the development of the eternal germs of truth and jus it is a trite aphorism that ancient prejudices must tice and love in wise laws and humane institutions it is give way to modern improvements never did the then and only then that they deserve the name of a everrevolving wheel of human events touch upon an nation a nation exists not in her capabilities of proage so demonstrative of this fact as the one in which we viding for or sustaining her physical greatness but in her intellectual brightnessher moral strengthher religious glory live or in which the besom of p,philosophy
141,"rogress was so indus-
triously engaged in the sweeping away of social cobwebs ;
and although many of these meshes of the spiders of
antiquity remain, yet they are marked for destruction by
the masses, who entertain, almost to a mania, a horror of
the ""old."" A battle of habits is going on; the Antique
reluctantly giving up the ghost, and Novelty struggling
into existence. Indeed, with the exception of "" port,
we can point but to few things bearing the prefix ""old,""
that will recommend themselves to the admiration of
""Young England.""
""""
The arm of social government, and of education as
its part, ought to be placed on the moral and not on
the physical and intellectual condition of a people.
They have not only limbs, and a stomach, and a head
that thinks, but a heart susceptible of emotion. If a
man be a social animal, he must acknowledge the
existence of that principle which renders him social.
Call it the social instinct, or by what other name we
may, there is a part of us, or in us, which is our To this spirit of progress, ever so antagonistic to anti-
true selves, upon which part alone it is the business of quity, we are indebted for the extinction of the old stage-
education to act for the purposes of development. It coachman, the old watchman, and the old hackney-
comprehends the moral sense, the intellectual energies, coachman, who formed so prominent, if not an essential,
the feelings, the affections; it is, in short, what we portion of the under-current of society some f",1,0.9955264329910278,elizacook_1849_mdp-39015074629984-1746736509.txt,rogress was so indus triously engaged in the sweeping away of social cobwebs and although many of these meshes of the spiders of antiquity remain yet they are marked for destruction by the masses who entertain almost to a mania a horror of the old a battle of habits is going on the antique reluctantly giving up the ghost and novelty struggling into existence indeed with the exception of port we can point but to few things bearing the prefix old that will recommend themselves to the admiration of young england the arm of social government and of education as its part ought to be placed on the moral and not on the physical and intellectual condition of a people they have not only limbs and a stomach and a head that thinks but a heart susceptible of emotion if a man be a social animal he must acknowledge the existence of that principle which renders him social call it the social instinct or by what other name we may there is a part of us or in us which is our to this spirit of progress ever so antagonistic to anti true selves upon which part alone it is the business of quity we are indebted for the extinction of the old stage education to act for the purposes of development it coachman the old watchman and the old hackney comprehends the moral sense the intellectual energies coachman who formed so prominent if not an essential the feelings the affections it is in short what we portion of the undercurrent of society some f,socialism
156,"embles a set of pictures which it delights us to live
the physical world, and even a universalist may be one of music, which we bind up in volumes, in order that we
them; men cast on desert islands of thought and specu-may always have them at hand, or know where to find them.
lation-without companionship, without wordly resources
-forced to arm and clothe themselves out of the remains
of shipwrecked hopes, and to make a house for their
solitary hearts, in the nooks and corners of imagination
and reading. It is not the worst lot in the world.
Turned to account for others, and embraced with patient
cheerfulness, it may, with few exceptions, even be one of
the best. We hope our volume may light into the hands
of such men. Every extract which is made in it, has
something of a like second purpose, beyond what appears
on its face. There is amusement for those who require
nothing more, and instruction in the shape of amusement
for those who choose to find it. We only hope that the
'knowing reader' will not think we have asserted inquiry
too often. We hate, with our friends, the little boys,
nothing so much as the 'moral' that officiously treads
the heels of the great Æsop; and which assumes that the
Sage has not done his work when he has told his story.
It is bad enough to be forced to interpret wisdom of any
kind; but to talk over such transparent lessons as these
is over-weeningly horrible. The little boys will find
nothing of the kind to frighten them in this book; and
they need ",1,0.992363214492798,elizacook_1849_mdp-39015074629984-1746736509.txt,embles a set of pictures which it delights us to live the physical world and even a universalist may be one of music which we bind up in volumes in order that we them men cast on desert islands of thought and specumay always have them at hand or know where to find them lationwithout companionship without wordly resources forced to arm and clothe themselves out of the remains of shipwrecked hopes and to make a house for their solitary hearts in the nooks and corners of imagination and reading it is not the worst lot in the world turned to account for others and embraced with patient cheerfulness it may with few exceptions even be one of the best we hope our volume may light into the hands of such men every extract which is made in it has something of a like second purpose beyond what appears on its face there is amusement for those who require nothing more and instruction in the shape of amusement for those who choose to find it we only hope that the knowing reader will not think we have asserted inquiry too often we hate with our friends the little boys nothing so much as the moral that officiously treads the heels of the great sop and which assumes that the sage has not done his work when he has told his story it is bad enough to be forced to interpret wisdom of any kind but to talk over such transparent lessons as these is overweeningly horrible the little boys will find nothing of the kind to frighten them in this book and they need,philosophy
165," ""doughty men of old,"" in their
ostensible skirts and magnanimous bob-wigs, surmounted
by a triangular of overpowering dignity; one might
imagine they were made up for an artist's study, and
were in case for a comfortable longevity, instead of the
Review
periodical space of twelve or fifteen hours.
those illustrious tomes-the tall copies with pompous
black letter and superfluous margins; surely such were
not constructed on the modern principle-that he who
runs may read.
Our knowledge of the intellectual machinery of man,
we candidly confess, is extremely deficient. Whatever
may constitute the motive power, common experience
demonstrates that a vast augmentation has recently been
made. Some new fly-wheel has been appended-debili-
tated springs have been removed for the substitution
of others of superior temper and elasticity-the former


## p. 31 (#43) ##############################################

ELIZA COOK'S JOURNAL.
31
rusty cranks, spindles, and pinions, have undergone state, nature, or rather the divine Author of nature, has
re-adjustment and lubrication, and the entire concern implanted in the mother's breast a love for her offspring
has been set in motion by an impetus which every hour dearer than life itself; but this holy, this beautiful affec
increases in intensity, agreeably to the laws of geometrical tion, requires to be supported by the highest intelligence,
progression. A moral volcano has broke forth! All and to be regulated by the most comprehensive know-
hu",1,0.9954971075057985,elizacook_1849_mdp-39015074629984-1746736509.txt,doughty men of old in their ostensible skirts and magnanimous bobwigs surmounted by a triangular of overpowering dignity one might imagine they were made up for an artists study and were in case for a comfortable longevity instead of the review periodical space of twelve or fifteen hours those illustrious tomesthe tall copies with pompous black letter and superfluous margins surely such were not constructed on the modern principlethat he who runs may read our knowledge of the intellectual machinery of man we candidly confess is extremely deficient whatever may constitute the motive power common experience demonstrates that a vast augmentation has recently been made some new flywheel has been appendeddebili tated springs have been removed for the substitution of others of superior temper and elasticitythe former p 31 43 eliza cooks journal 31 rusty cranks spindles and pinions have undergone state nature or rather the divine author of nature has readjustment and lubrication and the entire concern implanted in the mothers breast a love for her offspring has been set in motion by an impetus which every hour dearer than life itself but this holy this beautiful affec increases in intensity agreeably to the laws of geometrical tion requires to be supported by the highest intelligence progression a moral volcano has broke forth all and to be regulated by the most comprehensive know hu,philosophy
