half_page_number,text,predicted_label,science_prob,source_file,clean_text,llm_topic
93,"e ample than it is in old and over-crowded
countries.
As with Bees, so with men. The young, the enter-
prising, the adventurous, go forth on their new career,
leaving to the old members of the hive the enjoyment of
their comfortable nest. The world is wide-the fairest
regions of the earth are yet unpeopled-millions of square
miles of fertile soil, rich with the decayed vegetation of
ages, have not yet been trodden by the foot of man.
These are the grand fields for the venturous enterprise of
youth, whereon the destinies of future ages are to be
unfolded; where, untrammelled by the barbarisms of
the Old World, and free from those vices of class and caste
which still cling to all the venerated institutions of
Europe, the human race is destined to work out the great
problems of civilization, social happiness, and civil and
religious liberty.
Colonization is now the great subjugator of the earth,
and the British people are the leaders of this move-
ment. The Saxon race is plantings feet firmly in
every quarter of the globe. In the United States of
America, a mighty empire has been founded, already
equal in enterprize, intelligence, wealth, and power, to any
in the world. Another great empire in the Southern
Ocean looms before us-the germs of which are already
widely planted in the flourishing colonies of Australia. At
the southern point of Africa, also, on a fertile soil, and
under a beautiful sky, thriving colonies are now settling;
and in Hindostan, Sumatra, Borneo, and China, ",1,0.9934256076812744,elizacook_1849_mdp-39015074629984-1746736509.txt,e ample than it is in old and overcrowded countries as with bees so with men the young the enter prising the adventurous go forth on their new career leaving to the old members of the hive the enjoyment of their comfortable nest the world is widethe fairest regions of the earth are yet unpeopledmillions of square miles of fertile soil rich with the decayed vegetation of ages have not yet been trodden by the foot of man these are the grand fields for the venturous enterprise of youth whereon the destinies of future ages are to be unfolded where untrammelled by the barbarisms of the old world and free from those vices of class and caste which still cling to all the venerated institutions of europe the human race is destined to work out the great problems of civilization social happiness and civil and religious liberty colonization is now the great subjugator of the earth and the british people are the leaders of this move ment the saxon race is plantings feet firmly in every quarter of the globe in the united states of america a mighty empire has been founded already equal in enterprize intelligence wealth and power to any in the world another great empire in the southern ocean looms before usthe germs of which are already widely planted in the flourishing colonies of australia at the southern point of africa also on a fertile soil and under a beautiful sky thriving colonies are now settling and in hindostan sumatra borneo and china,colonization
167,"Leger starting-post removed to the
Georgium Sidus-people of ton taking a turn round
the sphere terrestrial, via the ""South Sea Suspension
Bridge,"" prior to luncheon. Valetudinarians in small
sparrow wherries,"" inhaling ether pure in realms Why is this? Simply because it is the fashion to let
etherial; the 'fancy fair,"" on butterfly pinions, tran-education take its course; because it is the fashion not
sporting their Lilliputian wares to the bazaar of Con- to study human nature; because the mother knows little
stantinople, for the special benefit of superlunary of a child's mental and moral economy, and thinks it too
refugees; and, last in order as in merit first, gentlemen
of the press on patent ""lightening conductors,"" racing
like shadows of a thought with opposition reports of the
""universal scientific association,"" such being convoked
at the Half Moon, at the earnest solicitation of philo-
sophers under the influence of that celestial body.
(c
But let not individuals of narrow prejudices and equally
limited comprehension wrap up their conservative hobbies
in a fanciful belief that our omnipotent ""Passion of
Progression"" will be confined to purposes of transit; the
palace, the senate, the bar; powers, legal, clerical, and
medical, moral, political, or economical, all the faculties,
functions, and humanities must be brushed up and set in
motion, to keep time corresponding with the expeditious
tendencies of the age. And Parliament must also be
susceptible of a respectful hint",1,0.9951340556144714,elizacook_1849_mdp-39015074629984-1746736509.txt,leger startingpost removed to the georgium siduspeople of ton taking a turn round the sphere terrestrial via the south sea suspension bridge prior to luncheon valetudinarians in small sparrow wherries inhaling ether pure in realms why is this simply because it is the fashion to let etherial the fancy fair on butterfly pinions traneducation take its course because it is the fashion not sporting their lilliputian wares to the bazaar of con to study human nature because the mother knows little stantinople for the special benefit of superlunary of a childs mental and moral economy and thinks it too refugees and last in order as in merit first gentlemen of the press on patent lightening conductors racing like shadows of a thought with opposition reports of the universal scientific association such being convoked at the half moon at the earnest solicitation of philo sophers under the influence of that celestial body c but let not individuals of narrow prejudices and equally limited comprehension wrap up their conservative hobbies in a fanciful belief that our omnipotent passion of progression will be confined to purposes of transit the palace the senate the bar powers legal clerical and medical moral political or economical all the faculties functions and humanities must be brushed up and set in motion to keep time corresponding with the expeditious tendencies of the age and parliament must also be susceptible of a respectful hint,natural history
575,"of honour and respect as he who owes
his wealth to the labour of his ancestors? To our think-
ing much more so! The man duly impressed with the
truth of such reflections, would as cordially grasp the
hardened hand of labour as the soft palm of some effemi-
nate lordling. All are mutually dependent, all should be
mutually useful and mutually grateful. For one class to
wrong another is to wrong itself. Rival classes, who
refuse to act in concert, impede the right working of the
social system, and inflict grievous injury on themselves
and on the whole commonwealth.
CORAL ROCKS.
THE coral rocks, which grow from the bed of the ocean,
were formerly thought to be of a vegetable nature; but
subsequent investigation has demonstrated, that the foun-
dation of these immense masses is effected by certain
species of polypes. A portion even of our island is based
on a foundation of coral, many of our transition rocks
containing an immense number of fossil corals; and many
islands between the tropics appear to rest entirely on
masses of coral rocks. The order and regularity with
which these vast accumulations of solid matter are con-
structed, by means apparently so inadequate to the end,
are no less astonishing than the amazing number of such
masses which are known to exist.""
Thousands of islands in the Eastern Ocean owe their
origin entirely to this source; and particularly those
in the Indian Archipelago, and round New Holland, are
produced by various tribes of these animals; especially
",1,0.9952601790428162,elizacook_1849_mdp-39015074629984-1746736509.txt,of honour and respect as he who owes his wealth to the labour of his ancestors to our think ing much more so the man duly impressed with the truth of such reflections would as cordially grasp the hardened hand of labour as the soft palm of some effemi nate lordling all are mutually dependent all should be mutually useful and mutually grateful for one class to wrong another is to wrong itself rival classes who refuse to act in concert impede the right working of the social system and inflict grievous injury on themselves and on the whole commonwealth coral rocks the coral rocks which grow from the bed of the ocean were formerly thought to be of a vegetable nature but subsequent investigation has demonstrated that the foun dation of these immense masses is effected by certain species of polypes a portion even of our island is based on a foundation of coral many of our transition rocks containing an immense number of fossil corals and many islands between the tropics appear to rest entirely on masses of coral rocks the order and regularity with which these vast accumulations of solid matter are con structed by means apparently so inadequate to the end are no less astonishing than the amazing number of such masses which are known to exist thousands of islands in the eastern ocean owe their origin entirely to this source and particularly those in the indian archipelago and round new holland are produced by various tribes of these animals especially,geology
576,"by the cellepora, Isis, madrepora, millepora, and tubipora.
The animals from these corals work with such rapidity,
that enormous masses of them very soon appear where
there were scarcely any marks of such reefs before; and
the navigation of the seas in which they abound is ren-
dered every day more difficult by the continually increas-
ing number of coral reefs, which will become the basis of
future islands. These reefs have flat tops, and rise so
perpendicularly from the bed of the sea, that the officers
of vessels, within only two ships' length of them, have
found no bottom at the depth of one hundred-and-fifty
fathoms, or nine hundred feet! It is an interesting object
of geological research to trace the progress of these for-
mations, by the minute but combined labours of millions
of these marine zoophytes, which occupy the lowest rank
in the animal kingdom; but which have been instrumental
in giving to the earth its present form. The following
interesting extract from ""Kotzebue's Voyages"" gives the
best description of the mode in which the islands, consist-
ting of coral reefs, may have been progressively formed.
""As soon as the ridge or reef has reached such a height
that it remains almost dry at low-water, at the time of
ebb, the polypes cease from building higher. Sea-shells,
fragments of corals, sea hedge-hog shells, and their broken-
off prickles, are united by the burning sun, through the
medium of the cementing calcareous sand, which has
arisen from the pulverizati",1,0.9951707720756532,elizacook_1849_mdp-39015074629984-1746736509.txt,by the cellepora isis madrepora millepora and tubipora the animals from these corals work with such rapidity that enormous masses of them very soon appear where there were scarcely any marks of such reefs before and the navigation of the seas in which they abound is ren dered every day more difficult by the continually increas ing number of coral reefs which will become the basis of future islands these reefs have flat tops and rise so perpendicularly from the bed of the sea that the officers of vessels within only two ships length of them have found no bottom at the depth of one hundredandfifty fathoms or nine hundred feet it is an interesting object of geological research to trace the progress of these for mations by the minute but combined labours of millions of these marine zoophytes which occupy the lowest rank in the animal kingdom but which have been instrumental in giving to the earth its present form the following interesting extract from kotzebues voyages gives the best description of the mode in which the islands consist ting of coral reefs may have been progressively formed as soon as the ridge or reef has reached such a height that it remains almost dry at lowwater at the time of ebb the polypes cease from building higher seashells fragments of corals sea hedgehog shells and their broken off prickles are united by the burning sun through the medium of the cementing calcareous sand which has arisen from the pulverizati,coral reefs
577,"on of the above-mentioned
shells, into one whole or solid stone; which, strengthened
by the continual throwing up of new materials, gradually
increases in thickness, till it becomes at last so high, that
it is covered only during some seasons of the year by the
high tides. The heat of the sun so penetrates the mass
of stone, when it is dry, that it splits in many places, and
breaks off in flakes. These flakes, so separated, are
raised one upon another by the waves, at the time of high
water. The always active surf throws blocks of coral
(frequently of a fathom in length, and three or four feet
thick) and shells of marine animals, between and upon
the foundation stones; after this the calcareous sand lies
undisturbed, and offers to the seeds and trees of plants,
cast upon it by the waves, a soil, upon which they rapidly
grow, to overshadow its dazzling white surface. Entire
trunks of trees, which are carried by the rivers from other
countries and islands, find here, at length, a resting-place,
after their long wanderings. With these come some
small animals, such as lizards and insects, as the first
inhabitants. Even before the trees form a wood, the real
sea-birds nestle here; strayed land-birds take refuge in
the bushes; and at a much later period, when the work
has been long since completed, man also appears, bands liis
hut on the fruitful soil, formed by the corruption of the
leaves of the trees; and calls himself the lord and proprie-
tor of this new creation.""
NEWSPAPERS.",1,0.9954543113708496,elizacook_1849_mdp-39015074629984-1746736509.txt,on of the abovementioned shells into one whole or solid stone which strengthened by the continual throwing up of new materials gradually increases in thickness till it becomes at last so high that it is covered only during some seasons of the year by the high tides the heat of the sun so penetrates the mass of stone when it is dry that it splits in many places and breaks off in flakes these flakes so separated are raised one upon another by the waves at the time of high water the always active surf throws blocks of coral frequently of a fathom in length and three or four feet thick and shells of marine animals between and upon the foundation stones after this the calcareous sand lies undisturbed and offers to the seeds and trees of plants cast upon it by the waves a soil upon which they rapidly grow to overshadow its dazzling white surface entire trunks of trees which are carried by the rivers from other countries and islands find here at length a restingplace after their long wanderings with these come some small animals such as lizards and insects as the first inhabitants even before the trees form a wood the real seabirds nestle here strayed landbirds take refuge in the bushes and at a much later period when the work has been long since completed man also appears bands liis hut on the fruitful soil formed by the corruption of the leaves of the trees and calls himself the lord and proprie tor of this new creation newspapers,nature
610,", taxing our brain, and
mentally ejaculated, ""where on earth could these swarms
of buzzing particles of humanity have sprung from?"" But
one might as well ask, where all the flies come from and
go to; the question would be more answerable than the
mysterious homes of our street juveniles.
From the small value at which they are estimated by
society, their great numerical number, and their intricate
dissemination through the mazes of the population, like
the penny in the currency, they may be considered as
belonging to the lowest order of human metal coined into
life, and, therefore, properly speaking, copper little
boys."" They are an illustration of the maxim, that the
more plentiful an article, the cheaper its price.
""
66
If plenty"" means cheapness,"" then ""little boys,""
being quite as abundant, are of no more value than sprats;
the latter diminutive member of the ocean ""comes in""
only in November, while ""little boys"" are not only
""in"" in every month of the year, but never "" go out""
(of season).
""
Now, the high court of Nature, in its inscrutable
wisdom, seems to have made it a ""rule absolute"" with
regard to ""little boys,"" that the cheaper, i.e. the poorer,
the soil from which they spring, the more plentiful the
plants it produces, being a kind of "" topsy-turvy
regulation to the established and understood order of
agricultural production; and the nearer the human
animal is reduced to fellowship with the lower, and
the more it burrows, the greater it assimilates to the
fecundity",1,0.9958632588386536,elizacook_1849_mdp-39015074629984-1746736509.txt,taxing our brain and mentally ejaculated where on earth could these swarms of buzzing particles of humanity have sprung from but one might as well ask where all the flies come from and go to the question would be more answerable than the mysterious homes of our street juveniles from the small value at which they are estimated by society their great numerical number and their intricate dissemination through the mazes of the population like the penny in the currency they may be considered as belonging to the lowest order of human metal coined into life and therefore properly speaking copper little boys they are an illustration of the maxim that the more plentiful an article the cheaper its price 66 if plenty means cheapness then little boys being quite as abundant are of no more value than sprats the latter diminutive member of the ocean comes in only in november while little boys are not only in in every month of the year but never go out of season now the high court of nature in its inscrutable wisdom seems to have made it a rule absolute with regard to little boys that the cheaper ie the poorer the soil from which they spring the more plentiful the plants it produces being a kind of topsyturvy regulation to the established and understood order of agricultural production and the nearer the human animal is reduced to fellowship with the lower and the more it burrows the greater it assimilates to the fecundity,socialism
617,"t begrudged for the expansion of that brightest
of the flowers of ""Eden,"" the human intellect. Is there
less beauty in the wild plants of humanity, growing as
plentiful as stinging nettles at our very doors, than in the
petted subjects of the realms of Flora. We think not.
Then let society arouse from its sluggish and (we had
almost said) criminal apathy, and gather to its bosom
these little swarming, straggling images of the Deity, and
the genial heat from its heart will invoke the sublime
essence of gratitude, and rapidly, though imperceptibly,
temper and soften the spirit of the hawk into that of
the dove.
If you would learn what they might be, look upon the
fortunate few, which some lucky chance, or indomitable
enterprise, has thrown upon the rough waves of the ocean
for livelihoods. They are the sprigs of oak, out of which
spring those gallant spirits, which give to the ""wooden
walls"" of Old England their world-wide fame. They are
the ""tars"" who give mind to the spreading sail, and their
bold courage is the pabulum which will preserve our sea-
girt isle in vernal green to furthest posterity. Their
dauntless energy it is that wafts from the pistils of
English commerce its seeds, and scatters them through
distant lands, and far off seas, planting commercial forests
for futurity.
Much might be wrought out of these copper little
boys, if legislative artisans would but work with diligence
and heart, firmly but kindly, and with the flat surface of
the revolving whetstone of ed",1,0.9947964549064636,elizacook_1849_mdp-39015074629984-1746736509.txt,t begrudged for the expansion of that brightest of the flowers of eden the human intellect is there less beauty in the wild plants of humanity growing as plentiful as stinging nettles at our very doors than in the petted subjects of the realms of flora we think not then let society arouse from its sluggish and we had almost said criminal apathy and gather to its bosom these little swarming straggling images of the deity and the genial heat from its heart will invoke the sublime essence of gratitude and rapidly though imperceptibly temper and soften the spirit of the hawk into that of the dove if you would learn what they might be look upon the fortunate few which some lucky chance or indomitable enterprise has thrown upon the rough waves of the ocean for livelihoods they are the sprigs of oak out of which spring those gallant spirits which give to the wooden walls of old england their worldwide fame they are the tars who give mind to the spreading sail and their bold courage is the pabulum which will preserve our sea girt isle in vernal green to furthest posterity their dauntless energy it is that wafts from the pistils of english commerce its seeds and scatters them through distant lands and far off seas planting commercial forests for futurity much might be wrought out of these copper little boys if legislative artisans would but work with diligence and heart firmly but kindly and with the flat surface of the revolving whetstone of ed,discovery
820,"their creation. Nature has her antiquities; for
she has some productions which she has ceased to pro-
duce; but for her streams and her mountains, her fields
and her flowers, I hope they will never be antiquated.
An aged tree, especially if shivered by wind or lightning,
is certainly a thing of other times. A rock rifted by an
earthquake, a fragment fallen at some far-distant or for-
gotten period from a mountain side, a deep fissure seem-
ingly rent by some power greater than any which nature
is now exerting, may fitly be called natural antiquities.
So are the mammoth's bones. They tell tales of the
planet's vigorous youth; they belong to an order of
things different from the present.
But there is nothing in nature, however green and
fresh, or perpetually reproduced, which may not be ren-
dered antique by poetry and superstition. Is not the
very ground of Palestine and Egypt hoary? Are not the
Nile and Jordan ages upon ages elder than Little Muddy
River, or Great, Big, Dry River, or Philosophy, Philan-
thropy, and Wisdom Rivers, which unite to form Jeffer-
son River?
Something of this hallowed character invests every


## p. 159 (#171) ############################################

ELIZA COOK'S JOURNAL.
159
SHOW YOU HAVE A HEART.
plant and animal to which a superstition is attached. ground in either; but it must be a mode, an emanation
The fancies of old poets; love charms and magic incan- of nature, a form which she has assumed and laid
tations; the dreams of alchymy and as",1,0.9953795671463012,elizacook_1849_mdp-39015074629984-1746736509.txt,their creation nature has her antiquities for she has some productions which she has ceased to pro duce but for her streams and her mountains her fields and her flowers i hope they will never be antiquated an aged tree especially if shivered by wind or lightning is certainly a thing of other times a rock rifted by an earthquake a fragment fallen at some fardistant or for gotten period from a mountain side a deep fissure seem ingly rent by some power greater than any which nature is now exerting may fitly be called natural antiquities so are the mammoths bones they tell tales of the planets vigorous youth they belong to an order of things different from the present but there is nothing in nature however green and fresh or perpetually reproduced which may not be ren dered antique by poetry and superstition is not the very ground of palestine and egypt hoary are not the nile and jordan ages upon ages elder than little muddy river or great big dry river or philosophy philan thropy and wisdom rivers which unite to form jeffer son river something of this hallowed character invests every p 159 171 eliza cooks journal 159 show you have a heart plant and animal to which a superstition is attached ground in either but it must be a mode an emanation the fancies of old poets love charms and magic incan of nature a form which she has assumed and laid tations the dreams of alchymy and as,natural history
827,"dreams.
Oh! love, thou hast a noble throne
In bosoms where thy life-light falls,
So warm and wide, that they have sighed,
At leaving even household walls.
ELIZA COOK.
GOD IN NATURE.-There is religion in everything
around us a calm and holy religion, in the unbreathing
things of nature, which man would do well to imitate.
It is a meek and blessed influence, stealing in as it were,
unawares upon the heart. It comes quietly, and without
excitement. It has no terror, no gloom in its approaches.
It does not rouse up the passions; it is untrammeled by
the creeds, and unshadowed by the superstitions of man.
It is fresh from the hands of its author, glowing from the
immediate presence of the Great Spirit, which pervades
and quickens it. It is written on the arched sky. It
looks out from every star. It is on the sailing cloud, and
in the invisible wind. It is among the hills and valleys
of the earth, where the shrubless mountain-top pierces
the thin atmosphere of eternal winter, or where the
mighty forest fluctuates, before the strong wind, with its
dark waves of green foliage. It is spread out like a
legible language, upon the broad face of the unsleeping
ocean. It is the poetry of nature. It is this which
uplifts the spirit within us, until it is strong enough to
overlook the shadows of our place of probation; which
breaks, link after link, the chain that binds us to mate-
riality; and which opens to our imagination a world of
spiritual beauty and holiness.
DIAMOND DUST.
A FEEBLE an",1,0.9906646013259888,elizacook_1849_mdp-39015074629984-1746736509.txt,dreams oh love thou hast a noble throne in bosoms where thy lifelight falls so warm and wide that they have sighed at leaving even household walls eliza cook god in naturethere is religion in everything around us a calm and holy religion in the unbreathing things of nature which man would do well to imitate it is a meek and blessed influence stealing in as it were unawares upon the heart it comes quietly and without excitement it has no terror no gloom in its approaches it does not rouse up the passions it is untrammeled by the creeds and unshadowed by the superstitions of man it is fresh from the hands of its author glowing from the immediate presence of the great spirit which pervades and quickens it it is written on the arched sky it looks out from every star it is on the sailing cloud and in the invisible wind it is among the hills and valleys of the earth where the shrubless mountaintop pierces the thin atmosphere of eternal winter or where the mighty forest fluctuates before the strong wind with its dark waves of green foliage it is spread out like a legible language upon the broad face of the unsleeping ocean it is the poetry of nature it is this which uplifts the spirit within us until it is strong enough to overlook the shadows of our place of probation which breaks link after link the chain that binds us to mate riality and which opens to our imagination a world of spiritual beauty and holiness diamond dust a feeble an,natural history
946,"ls of the dew she's been drinking.
When the blackbird is filling the reed in his throat,
The wood-nun her vespers beginning;
And the hedge-piping wren with her minikin note,
Sings to the housewife a-spinning.
When the silver-wing'd bee from his travels return'd,
What tale he shall tell, hummeth over;
What sights he has seen, and what facts he has learn'd
While abroad he has been, and a rover.
Then to lean o'er the stile, and look down o'er the meads,
Where the woods in wet sun-beams are smoking,
And the quarrelsome crows are all making their beds,
And cawing, and craving, and croaking.
Now they settle and swing in their hammocks so high,
Safe as halcyons sleep, and as quiet;
Till a friend steals a straw,-when up! up and the sky
Is all wings, and the wood is all riot.
Down again, and to rest. But the petulant stream
Murmurs on, murmurs on its wild journey;
And the gnats sparkling swift thro' the rich yellow beam,
Buzz as bright by your cheek as they'd burn ye.
Gentle eve comes apace-gentle eve with a veil
Dew-besteep'd, that falls balm in a shower,
If its grey fleecy folds are but puffed by the gale
That would scarce move the wing of a flower.
O'tis sweet to the heart, and 'tis sweet to the car
At this hour of tired Nature's reposing,
The hush that runs o'er the woodland to hear,
As her dim dusky eyelids are closing.
No roar from the valley, no moan from the grove,
No noise that the noon-season numbers;
But a low stilly sound, such as Psyche's own Love
Might fan from his wings",1,0.9918301701545716,elizacook_1849_mdp-39015074629984-1746736509.txt,ls of the dew shes been drinking when the blackbird is filling the reed in his throat the woodnun her vespers beginning and the hedgepiping wren with her minikin note sings to the housewife aspinning when the silverwingd bee from his travels returnd what tale he shall tell hummeth over what sights he has seen and what facts he has learnd while abroad he has been and a rover then to lean oer the stile and look down oer the meads where the woods in wet sunbeams are smoking and the quarrelsome crows are all making their beds and cawing and craving and croaking now they settle and swing in their hammocks so high safe as halcyons sleep and as quiet till a friend steals a strawwhen up up and the sky is all wings and the wood is all riot down again and to rest but the petulant stream murmurs on murmurs on its wild journey and the gnats sparkling swift thro the rich yellow beam buzz as bright by your cheek as theyd burn ye gentle eve comes apacegentle eve with a veil dewbesteepd that falls balm in a shower if its grey fleecy folds are but puffed by the gale that would scarce move the wing of a flower otis sweet to the heart and tis sweet to the car at this hour of tired natures reposing the hush that runs oer the woodland to hear as her dim dusky eyelids are closing no roar from the valley no moan from the grove no noise that the noonseason numbers but a low stilly sound such as psyches own love might fan from his wings,poetry
